id,delay,expectation,congruency,trial_num,stim_color,distractor_color,block,targetTimeMs,famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,isTrial,handMove.started,audioCue2Start.started,handOri,handMove.ended,audioCue2End.started,target_color,expected_target_onset,expected_target_onset_in_frames,fixationPoint.started,fixationPoint.stopped,audCueStart.started,placeholder.started,target.started,target.stopped,audCueEnd.started,responsePointer.started,responseStarted,rtUntillMotionTreshold,cueForRep.started,space2pass.started,responsePointer.stopped,rTAfterMotionTreshold,rtDurationBtwRespMotion,perceivedTime,resp_x_coord,resp_y_coord,feedbackPointer.stopped,actualTime_x_coord,actualTime_y_coord,space2pass.keys,space2pass.rt,audCueStart.stopped,audCueEnd.stopped,expected_delay,expected_delays_frame,expected_distractor,expected_distractor_frame,expBlockFiles,distractor.started,distractor.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,2,0,2,0,0,-1,-1,0,fam,0.49893669999437407,0.49893669999437407,270.0,2.498788900033105,2.498788900033105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p15_high2_01,001,2023-05-15_14h56.27.774,expectation_shapes_perceived_time,2022.2.4,119.80782825861411,
,,,,,,,,,3,0,3,0,0,-1,-1,0,fam,0.4987443999852985,0.4987443999852985,270.0,2.498885400011204,2.498885400011204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p15_high2_01,001,2023-05-15_14h56.27.774,expectation_shapes_perceived_time,2022.2.4,119.80782825861411,
1,-500,0.5,none,68,red,green,no_Expectation,,,,,,0,0,0,3,train_doubleStim,,,,,,red,0.6952750969143701,0.6916666666666667,2.299310099973809,0.9915426999796182,1e-05,1e-05,0.6913505999837071,0.7246323999715969,1.9993554999819025,2.299310099973809,3.2166536999866366,0.9173436000128277,2.299310099973809,2.4994951999979094,5.024529199989047,2.725219100015238,1.8078755000024103,0.1838,0.08069396792347286,0.12385585774300485,,,,None,,0.03288,2.0325674999621697,-0.5,-0.5,0.16194509691437003,0.15833333333333333,training_double_stim.csv,0.15834309998899698,0.19151479995343834,p15_high2_01,001,2023-05-15_14h56.27.774,expectation_shapes_perceived_time,2022.2.4,119.80782825861411,
1,500,0.5,none,33,green,red,no_Expectation,,,,,,0,1,1,7,train_doubleStim,,,,,,green,0.25403061246522474,0.25,2.300082999980077,0.9961861000047065,1e-05,1e-05,0.2503619999624789,0.2833851000177674,2.0001633999636397,2.300082999980077,3.0419358999934047,0.7418529000133276,2.300082999980077,2.50046139996266,4.533611099992413,2.233528100012336,1.4916751999990083,0.36756,0.13521218389629117,0.05974491846580308,,,,None,,,,0.5,0.5,0.7873606124652248,0.7833333333333333,training_double_stim.csv,0.7834928999654949,0.8169448999688029,p15_high2_01,001,2023-05-15_14h56.27.774,expectation_shapes_perceived_time,2022.2.4,119.80782825861411,
1,500,0.5,none,88,red,green,no_Expectation,,,,,,0,2,2,9,train_doubleStim,,,,,,red,0.29124668843649026,0.2916666666666667,2.2999654000159353,0.997796899988316,1e-05,1e-05,0.2911440000170842,0.32435870001791045,2.000005299982149,2.2999654000159353,2.7913483000011183,0.49138289998518303,2.2999654000159353,2.4992811999982223,5.074641200015321,2.774675799999386,2.283292900014203,0.93978,0.027801503104692222,-0.14518562732450382,,,,None,,0.03331,2.033003800024744,0.5,0.5,0.8245766884364903,0.825,training_double_stim.csv,0.8248468000092544,0.8583136000088416,p15_high2_01,001,2023-05-15_14h56.27.774,expectation_shapes_perceived_time,2022.2.4,119.80782825861411,
1,-500,0.5,none,59,green,red,no_Expectation,,,,,,0,3,3,0,train_doubleStim,,,,,,green,0.8854429833030187,0.8833333333333333,2.3003670999896713,0.9970713999937288,1e-05,1e-05,0.8837116999784485,0.917067100002896,2.0004267999902368,2.3003670999896713,2.7165731000131927,0.4162060000235215,2.3003670999896713,2.5001786000211723,3.841963700018823,1.5415966000291519,1.1253906000056304,0.90399,0.04391342036132825,-0.14115027973284078,,,,None,,,,-0.5,-0.5,0.35211298330301877,0.35,training_double_stim.csv,0.34984979999717325,0.3837157000089064,p15_high2_01,001,2023-05-15_14h56.27.774,expectation_shapes_perceived_time,2022.2.4,119.80782825861411,
1,-500,0.5,none,23,green,red,no_Expectation,,,,,,0,4,4,2,train_doubleStim,,,,,,green,0.9955395686909783,0.9916666666666667,2.2999750999733806,0.9973817999707535,6e-05,6e-05,0.9916431999881752,1.0250192999956198,1.999962100002449,2.2999750999733806,2.4084189999848604,0.10844390001147985,2.2999750999733806,2.4998977999784984,3.8915448999614455,1.591569799988065,1.483125899976585,0.77886,0.094634304676012,-0.11356116561121439,,,,None,,,,-0.5,-0.5,0.4622095686909783,0.4583333333333333,training_double_stim.csv,0.45790469995699823,0.4912604999844916,p15_high2_01,001,2023-05-15_14h56.27.774,expectation_shapes_perceived_time,2022.2.4,119.80782825861411,
1,-500,0.5,none,77,green,red,no_Expectation,,,,,,0,5,5,1,train_doubleStim,,,,,,green,1.8396114112870927,1.8333333333333333,2.2999141000327654,0.9982632999890484,1e-05,1e-05,1.8335342000355013,1.8672485999995843,2.0005483999848366,2.2999141000327654,2.4665492000058293,0.16663509997306392,2.2999141000327654,2.500037899997551,3.499991399992723,1.2000772999599576,1.0334421999868937,1.55324,-0.14576072636104542,0.024608953801215465,,,,None,,,2.033802999998443,-0.5,-0.5,1.3062814112870929,1.3083333333333333,training_double_stim.csv,1.3083400999894366,1.341619200014975,p15_high2_01,001,2023-05-15_14h56.27.774,expectation_shapes_perceived_time,2022.2.4,119.80782825861411,
1,500,0.5,none,98,red,green,no_Expectation,,,,,,0,6,6,5,train_doubleStim,,,,,,red,0.7407448961611526,0.7416666666666667,2.300371399964206,0.9972752999747172,1e-05,1e-05,0.7422115000081249,0.774926099984441,2.00041079998482,2.300371399964206,2.9335947000072338,0.6332233000430278,2.300371399964206,2.500284100009594,4.500245500006713,2.199874100042507,1.5666507999994792,1.49576,-0.14781037136930789,-0.001970804951590772,,,,None,,0.03337,2.0335500999935903,0.5,0.5,1.2740748961611525,1.275,training_double_stim.csv,1.2754558000015095,1.3085401999996975,p15_high2_01,001,2023-05-15_14h56.27.774,expectation_shapes_perceived_time,2022.2.4,119.80782825861411,
1,-500,0.5,none,46,red,green,no_Expectation,,,,,,0,7,7,4,train_doubleStim,,,,,,red,0.9969385604917116,0.9916666666666667,2.300457199977245,0.9966991000110283,4e-05,4e-05,0.9919929999741726,1.025324099988211,2.000173199980054,2.300457199977245,2.3835583999753,0.08310119999805465,2.300457199977245,2.499848800012842,3.550531399960164,1.2500741999829188,1.1669729999848641,1.01016,-0.004715370745466666,-0.14774828335795553,,,,None,,0.03331,2.033914299972821,-0.5,-0.5,0.46360856049171156,0.4666666666666667,training_double_stim.csv,0.4665656999568455,0.4998769999947399,p15_high2_01,001,2023-05-15_14h56.27.774,expectation_shapes_perceived_time,2022.2.4,119.80782825861411,
