id,delay,expectation,congruency,trial_num,stim_color,distractor_color,block,targetTimeMs,famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,isTrial,handMove.started,audioCue2Start.started,handOri,handMove.ended,audioCue2End.started,target_color,expected_target_onset,expected_target_onset_in_frames,fixationPoint.started,fixationPoint.stopped,audCueStart.started,placeholder.started,target.started,target.stopped,audCueEnd.started,responsePointer.started,cueForRep.started,space2pass.started,responseStarted,rtUntillMotionTreshold,responsePointer.stopped,rTAfterMotionTreshold,rtDurationBtwRespMotion,perceivedTime,resp_x_coord,resp_y_coord,feedbackPointer.stopped,actualTime_x_coord,actualTime_y_coord,space2pass.keys,space2pass.rt,audCueStart.stopped,audCueEnd.stopped,expected_delay,expected_delays_frame,expected_distractor,expected_distractor_frame,expBlockFiles,distractor.started,distractor.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,14,0,14,0,,,,,fam,0.49831780001113657,0.49831780001113657,270.0000000000009,2.4902659000072163,2.4902659000072163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,marika_expectedh2,001,2023-04-28_16h29.23.427,expectation_shapes_perceived_time,2022.2.4,119.65300626534918,
,,,,,,,,,15,0,15,0,,,,,fam,0.4985113000002457,0.4985113000002457,270.0000000000009,2.4903095999907237,2.4903095999907237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,marika_expectedh2,001,2023-04-28_16h29.23.427,expectation_shapes_perceived_time,2022.2.4,119.65300626534918,
,,,,,,,,,16,0,16,0,,,,,fam,0.49814570001035463,0.49814570001035463,270.0000000000009,2.489817200010293,2.489817200010293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,marika_expectedh2,001,2023-04-28_16h29.23.427,expectation_shapes_perceived_time,2022.2.4,119.65300626534918,
,,,,,,,,,17,0,17,0,,,,,fam,0.4990737999905832,0.4990737999905832,270.0000000000009,2.4910702999914065,2.4910702999914065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,marika_expectedh2,001,2023-04-28_16h29.23.427,expectation_shapes_perceived_time,2022.2.4,119.65300626534918,
,,,,,,,,,18,0,18,0,,,,,fam,0.49827940000977833,0.49827940000977833,270.0000000000009,2.4898882000125013,2.4898882000125013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,marika_expectedh2,001,2023-04-28_16h29.23.427,expectation_shapes_perceived_time,2022.2.4,119.65300626534918,
,,,,,,,,,19,0,19,0,,,,,fam,0.4984385999996448,0.4984385999996448,270.0000000000009,2.4899308000021847,2.4899308000021847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,marika_expectedh2,001,2023-04-28_16h29.23.427,expectation_shapes_perceived_time,2022.2.4,119.65300626534918,
,,,,,,,,,,,,,0,0,0,0,test,,,,,,red,0.6375228844435017,0.6333333333333333,2.291369599988684,0.9987014999933308,1.3500000932253897e-05,1e-05,0.6335331999871414,0.6667906999937259,1.999945999996271,2.291369599988684,2.291369599988684,2.591350999995484,3.275084099994274,0.9837145000055898,9.158244599995669,6.866875000006985,5.883160500001395,0.72715,0.127399066752406,-0.1103089480417174,9.158244599995669,0.15303412598412797,-0.0705630392750224,space,6.566445300006308,,,,,,,,,,marika_expectedh2,001,2023-04-28_16h29.23.427,expectation_shapes_perceived_time,2022.2.4,119.65300626534918,
,,,,,,,,,,,,,1,0,1,0,test,,,,,,red,0.25162513066718833,0.25,2.291154699996696,0.9976780000142753,1.3700002455152571e-05,1e-05,0.2500365000014426,0.2834197000047425,1.9999853000044823,2.291154699996696,2.291154699996696,2.5914769999944838,2.4499078999942867,0.15875319999759085,6.116895999992266,3.8257412999955704,3.6669880999979796,0.17359,0.08741532632487262,0.14407340820210485,6.116895999992266,0.11976760636935542,0.11855086120315383,space,3.520729299998493,0.03315489999658894,2.0334210000000894,,,,,,,,marika_expectedh2,001,2023-04-28_16h29.23.427,expectation_shapes_perceived_time,2022.2.4,119.65300626534918,
,,,,,,,,,,,,,2,0,2,0,test,,,,,,red,0.7173649808020016,0.7166666666666667,2.291620000003604,0.9981009000039194,1.410000550094992e-05,1e-05,0.7171323000075063,0.7501029999984894,2.000068800000008,2.291620000003604,2.291620000003604,2.599956400008523,2.3498628999950597,0.05824289999145549,5.066855700002634,2.7752356999990297,2.7169928000075743,1.20667,-0.10188587764109998,-0.13423060070176662,5.066855700002634,0.13073073097200946,-0.10633937279755974,space,2.4670314000104554,0.03365009999834001,2.033245500002522,,,,,,,,marika_expectedh2,001,2023-04-28_16h29.23.427,expectation_shapes_perceived_time,2022.2.4,119.65300626534918,
,,,,,,,,,,,,,3,0,3,0,test,,,,,,red,0.24224078175748653,0.24166666666666667,2.291755500002182,0.9979178000066895,1.3800003216601908e-05,1e-05,0.2415642999985721,0.2748353000060888,2.0001420000044163,2.291755500002182,2.291755500002182,2.5919329000025755,2.291755500002182,0.0,4.8587961000012,2.567040599999018,2.567040599999018,0.09624,0.050180899782629816,0.16087406106784266,4.8587961000012,0.11622097385544065,0.12202979744122862,space,2.265482900009374,,,,,,,,,,marika_expectedh2,001,2023-04-28_16h29.23.427,expectation_shapes_perceived_time,2022.2.4,119.65300626534918,
