id,delay,expectation,congruency,trial_num,stim_color,distractor_color,block,famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,isTrial,handMove.started,audioCue2Start.started,handOri,handMove.ended,audioCue2End.started,target_color,expected_target_onset,expected_target_onset_in_frames,fixationPoint.started,fixationPoint.stopped,audCueStart.started,placeholder.started,target.started,target.stopped,audCueEnd.started,responsePointer.started,cueForRep.started,space2pass.started,responseStarted,rtUntillMotionTreshold,responsePointer.stopped,rTAfterMotionTreshold,rtDurationBtwRespMotion,perceivedTime,resp_x_coord,resp_y_coord,feedbackPointer.stopped,actualTime_x_coord,actualTime_y_coord,space2pass.keys,space2pass.rt,audCueStart.stopped,audCueEnd.stopped,expected_delay,expected_delays_frame,expected_distractor,expected_distractor_frame,expBlockFiles,distractor.started,distractor.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,2,0,2,0,0,-1,-1,0,fam,0.49756849999539554,0.49756849999539554,270.0000000000009,2.4886053999944124,2.4886053999944124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ahmed_high0,001,2023-04-29_14h43.11.067,expectation_shapes_perceived_time,2022.2.4,119.5297222421471,
,,,,,,,,3,0,3,0,0,-1,-1,0,fam,0.4972154999850318,0.4972154999850318,270.0000000000009,2.4890588999842294,2.4890588999842294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ahmed_high0,001,2023-04-29_14h43.11.067,expectation_shapes_perceived_time,2022.2.4,119.5297222421471,
1,500,0.5,none,25,green,red,no_Expectation,,,,,0,0,0,6,train_doubleStim,,,,,,green,0.9438003580948217,0.9338842975206612,2.291785000008531,0.9913857000065036,4e-05,4e-05,0.9416399000037927,0.9752668000000995,2.000058600009652,2.291785000008531,2.291785000008531,2.491954099998111,2.966762700001709,0.6749776999931782,3.716563900001347,1.4247788999928162,0.7498011999996379,0.80806,0.08383096840689583,-0.12175450173382488,,,,None,,0.03337,2.0335813999990933,0.5,0.49586776859504134,1.4771303580948216,1.462809917355372,training_double_stim.csv,1.4750810000114143,1.5085721000214107,ahmed_high0,001,2023-04-29_14h43.11.067,expectation_shapes_perceived_time,2022.2.4,119.5297222421471,
1,500,0.5,none,33,green,red,no_Expectation,,,,,0,1,1,7,train_doubleStim,,,,,,green,0.3265669150607625,0.3223140495867769,2.307650599977933,0.9980031000159215,5e-05,5e-05,0.32434799999464303,0.35778140000184067,1.9995753999974113,2.307650599977933,2.307650599977933,2.507761599990772,2.307650599977933,0.0,3.7830760999931954,1.4754255000152625,1.4754255000152625,0.73727,0.10862122396657181,-0.10026574519991245,,,,None,,,,0.5,0.49586776859504134,0.8598969150607626,0.8512396694214877,training_double_stim.csv,0.8576977999764495,0.8913324999739416,ahmed_high0,001,2023-04-29_14h43.11.067,expectation_shapes_perceived_time,2022.2.4,119.5297222421471,
1,500,0.5,none,88,red,green,no_Expectation,,,,,0,2,2,9,train_doubleStim,,,,,,red,1.2528763722779774,1.2396694214876034,2.2917856999847572,0.9961932000005618,3e-05,3e-05,1.249867999984417,1.2831761999987066,2.000184000004083,2.2917856999847572,2.2917856999847572,2.491430499998387,2.4748868999886326,0.18310120000387542,3.8415301999775693,1.549744499992812,1.3666432999889366,1.24091,-0.10149910033775127,-0.10746963565173664,,,,None,,0.03323,2.0335170999751426,0.5,0.49586776859504134,1.7862063722779773,1.7685950413223142,training_double_stim.csv,1.7831335999944713,1.8165652999887243,ahmed_high0,001,2023-04-29_14h43.11.067,expectation_shapes_perceived_time,2022.2.4,119.5297222421471,
1,-500,0.5,none,77,green,red,no_Expectation,,,,,0,3,3,1,train_doubleStim,,,,,,green,0.6721287782111708,0.6611570247933884,2.291858599986881,0.9968745000078343,3e-05,3e-05,0.6665919999941252,0.7000682999787387,1.9998107999854255,2.291858599986881,2.291858599986881,2.491568500001449,2.641611400002148,0.349752800015267,3.999997099977918,1.708138499991037,1.35838569997577,0.64966,0.13178246870387883,-0.06697141852164336,,,,None,,0.03321,2.0333779999928083,-0.5,-0.49586776859504134,0.13879877821117081,0.14049586776859505,training_double_stim.csv,0.141716499987524,0.1748187999764923,ahmed_high0,001,2023-04-29_14h43.11.067,expectation_shapes_perceived_time,2022.2.4,119.5297222421471,
1,500,0.5,none,98,red,green,no_Expectation,,,,,0,4,4,5,train_doubleStim,,,,,,red,0.5751709753821094,0.5702479338842975,2.2915858999767806,0.996551799995359,3e-05,3e-05,0.5750053999945521,0.6084010999766178,2.0001498999772593,2.2915858999767806,2.2915858999767806,2.4916084999858867,2.533410499978345,0.24182460000156425,3.50833209999837,1.2167462000215892,0.9749216000200249,0.63226,0.13524636031889845,-0.059667511905396375,,,,None,,0.03325,2.0334870999795385,0.5,0.49586776859504134,1.1085009753821093,1.0909090909090908,training_double_stim.csv,1.1001377999782562,1.13345069999923,ahmed_high0,001,2023-04-29_14h43.11.067,expectation_shapes_perceived_time,2022.2.4,119.5297222421471,
1,-500,0.5,none,68,red,green,no_Expectation,,,,,0,5,5,3,train_doubleStim,,,,,,red,1.1972617802275458,1.1818181818181819,2.291821799997706,0.9964537000050768,2e-05,2e-05,1.1919918000057805,1.2254954999953043,2.0002666999935172,2.291821799997706,2.291821799997706,2.4919318000029307,2.500263800000539,0.20844200000283308,2.9251489999878686,0.6333271999901626,0.42488519998732954,1.0065,-0.0030161782726479893,-0.1477927353597515,,,,None,,0.03335,2.0338884000084363,-0.5,-0.49586776859504134,0.6639317802275458,0.6528925619834711,training_double_stim.csv,0.6585570999886841,0.6920137999986764,ahmed_high0,001,2023-04-29_14h43.11.067,expectation_shapes_perceived_time,2022.2.4,119.5297222421471,
1,-500,0.5,none,59,green,red,no_Expectation,,,,,0,6,6,0,train_doubleStim,,,,,,green,1.4230428579223369,1.4049586776859504,2.291452900011791,0.9968926000001375,3e-05,3e-05,1.4160590000101365,1.4500436000234913,1.9999628000077792,2.291452900011791,2.291452900011791,2.491784700017888,2.291452900011791,0.0,4.499966700008372,2.208513799996581,2.208513799996581,1.1631,-0.07247213700699794,-0.12883935467910743,,,,None,,0.0333,2.033397999999579,-0.5,-0.49586776859504134,0.8897128579223369,0.8760330578512396,training_double_stim.csv,0.8833457000146154,0.9167653000040445,ahmed_high0,001,2023-04-29_14h43.11.067,expectation_shapes_perceived_time,2022.2.4,119.5297222421471,
1,500,0.5,none,60,red,green,no_Expectation,,,,,0,7,7,8,train_doubleStim,,,,,,red,0.5419562470746666,0.5371900826446281,2.2918962000112515,0.9971725000068545,4e-05,4e-05,0.5413829000026453,0.5745793000096455,2.0000316000077873,2.2918962000112515,2.2918962000112515,2.492026599997189,2.891886199999135,0.5999899999878835,3.391633699997328,1.0997374999860767,0.49974749999819323,0.72957,0.11101743745802173,-0.0976059349463144,,,,None,,0.0334,2.0333069000043906,0.5,0.49586776859504134,1.0752862470746665,1.0661157024793388,training_double_stim.csv,1.0747856000089087,1.1082822000025772,ahmed_high0,001,2023-04-29_14h43.11.067,expectation_shapes_perceived_time,2022.2.4,119.5297222421471,
1,-500,0.5,none,23,green,red,no_Expectation,,,,,0,8,8,2,train_doubleStim,,,,,,green,0.8240732900283647,0.8181818181818182,2.291560199984815,0.9973565000109375,3e-05,3e-05,0.8249645999749191,0.858315199991921,1.9997888999932911,2.291560199984815,2.291560199984815,2.4917216999747325,2.291560199984815,0.0,2.874927099997876,0.5833669000130612,0.5833669000130612,1.27886,-0.11356116561121439,-0.09463430467601198,,,,None,,,,-0.5,-0.49586776859504134,0.2907432900283647,0.2892561983471075,training_double_stim.csv,0.2917443999904208,0.3250560000014957,ahmed_high0,001,2023-04-29_14h43.11.067,expectation_shapes_perceived_time,2022.2.4,119.5297222421471,
1,-500,0.5,none,46,red,green,no_Expectation,,,,,0,9,9,4,train_doubleStim,,,,,,red,1.1086740891796687,1.0991735537190084,2.2914053999993484,0.9969534000265412,4e-05,4e-05,1.1084510999789927,1.1417471999884583,1.9998764999909326,2.2914053999993484,2.2914053999993484,2.4912760999868624,2.6328727999934927,0.3414673999941442,3.150162799982354,0.8587573999830056,0.5172899999888614,1.14358,-0.06444047391433966,-0.1330383977586367,,,,None,,0.03341,2.0334750000038184,-0.5,-0.49586776859504134,0.5753440891796687,0.5702479338842975,training_double_stim.csv,0.5750662999926135,0.6085004999767989,ahmed_high0,001,2023-04-29_14h43.11.067,expectation_shapes_perceived_time,2022.2.4,119.5297222421471,
