id,delay,expectation,congruency,trial_num,stim_color,distractor_color,block,targetTimeMs,famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,isTrial,handMove.started,audioCue2Start.started,handOri,handMove.ended,audioCue2End.started,target_color,expected_target_onset,expected_target_onset_in_frames,fixationPoint.started,fixationPoint.stopped,audCueStart.started,placeholder.started,audCueStart.stopped,target.started,target.stopped,audCueEnd.started,audCueEnd.stopped,responsePointer.started,cueForRep.started,responseStarted,rtUntillMotionTreshold,space2pass.started,responsePointer.stopped,rTAfterMotionTreshold,rtDurationBtwRespMotion,perceivedTime,resp_x_coord,resp_y_coord,feedbackPointer.stopped,actualTime_x_coord,actualTime_y_coord,space2pass.keys,space2pass.rt,expected_delay,expected_delays_frame,expected_distractor,expected_distractor_frame,expBlockFiles,distractor.started,distractor.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,2,0,2,0,0,-1,-1,0,fam,0.4990846000146121,0.4990846000146121,270.0,2.4990833000047132,2.4990833000047132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sarah_high1,001,2023-04-29_16h58.53.797,expectation_shapes_perceived_time,2022.2.4,120.09242313356899,
,,,,,,,,,3,0,3,0,0,-1,-1,0,fam,0.49894030002178624,0.49894030002178624,270.0,2.4989734000118915,2.4989734000118915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sarah_high1,001,2023-04-29_16h58.53.797,expectation_shapes_perceived_time,2022.2.4,120.09242313356899,
1,500,0.5,none,33,green,red,no_Expectation,,,,,,0,0,0,7,train_doubleStim,,,,,,green,0.5199405059128274,0.5166666666666666,2.300329099991359,0.9909137000213377,1e-05,1e-05,0.03353,0.5167341999767814,0.5497118999774102,2.000315599987516,2.0335950999869965,2.300329099991359,2.300329099991359,2.358435299975099,0.058106199983740225,2.499926399992546,5.124948999990011,2.824619899998652,2.7665137000149116,0.41299,0.14233489687778006,0.03990698043302245,,,,None,,0.5,0.5,1.0532705059128273,1.05,training_double_stim.csv,1.0499331999744754,1.0834801999735646,sarah_high1,001,2023-04-29_16h58.53.797,expectation_shapes_perceived_time,2022.2.4,120.09242313356899,
1,500,0.5,none,60,red,green,no_Expectation,,,,,,0,1,1,8,train_doubleStim,,,,,,red,0.15490047165564813,0.15833333333333333,2.299665600003209,0.9987557000131346,1e-05,1e-05,,0.15847719999146648,0.1915207999991253,1.9997029000078328,,2.299665600003209,2.299665600003209,2.8664830999914557,0.5668174999882467,2.499570499989204,4.958011800015811,2.658346200012602,2.091528700024355,0.3867,0.13855692054302454,0.05151475250958606,,,,None,,0.5,0.5,0.6882304716556481,0.6916666666666667,training_double_stim.csv,0.6914276999887079,0.7246413000102621,sarah_high1,001,2023-04-29_16h58.53.797,expectation_shapes_perceived_time,2022.2.4,120.09242313356899,
1,-500,0.5,none,46,red,green,no_Expectation,,,,,,0,2,2,4,train_doubleStim,,,,,,red,1.6498893735931297,1.65,2.30012679999345,0.9980681999877561,1e-05,1e-05,0.03348,1.6500931000045966,1.6834044999850448,2.0001453000004403,2.0332821999909356,2.30012679999345,2.30012679999345,2.30012679999345,0.0,2.500038300000597,3.758417900011409,1.4582911000179593,1.4582911000179593,0.84502,0.06916480487732228,-0.1306446314349421,,,,None,,-0.5,-0.5,1.1165593735931298,1.1166666666666667,training_double_stim.csv,1.1164900999865495,1.150054600002477,sarah_high1,001,2023-04-29_16h58.53.797,expectation_shapes_perceived_time,2022.2.4,120.09242313356899,
1,-500,0.5,none,59,green,red,no_Expectation,,,,,,0,3,3,0,train_doubleStim,,,,,,green,1.4371887994154522,1.4416666666666667,2.3002164000063203,0.9982051999832038,1e-05,1e-05,0.03376,1.4413130999892019,1.4746298999816645,1.9998729999933857,2.033389799995348,2.3002164000063203,2.3002164000063203,2.8503522999817505,0.5501358999754302,2.500224599993089,4.092059899994638,1.7918434999883175,1.2417076000128873,0.75802,0.1018595081920308,-0.10712810344334271,,,,None,,-0.5,-0.5,0.9038587994154521,0.9083333333333333,training_double_stim.csv,0.9086621000024024,0.9412540000048466,sarah_high1,001,2023-04-29_16h58.53.797,expectation_shapes_perceived_time,2022.2.4,120.09242313356899,
1,500,0.5,none,98,red,green,no_Expectation,,,,,,0,4,4,5,train_doubleStim,,,,,,red,1.0885969604790593,1.0916666666666666,2.29983460000949,0.9981332000170369,1e-05,1e-05,0.03299,1.0914604999998119,1.1249169000075199,1.9997817999974359,2.033040300011635,2.29983460000949,2.29983460000949,2.307844099996146,0.00800949998665601,2.5000958000018727,3.883269099984318,1.5834344999748282,1.5754249999881722,1.16401,-0.0728397422541239,-0.1286318852572826,,,,None,,0.5,0.5,1.6219269604790594,1.625,training_double_stim.csv,1.6245159000100102,1.6577586999919731,sarah_high1,001,2023-04-29_16h58.53.797,expectation_shapes_perceived_time,2022.2.4,120.09242313356899,
1,-500,0.5,none,68,red,green,no_Expectation,,,,,,0,5,5,3,train_doubleStim,,,,,,red,1.2039865734774666,1.2083333333333333,2.300239900010638,0.997958899999503,3e-05,3e-05,,1.208105700003216,1.2415720999997575,1.9997678000072483,,2.300239900010638,2.300239900010638,2.650059899984626,0.34981999997398816,2.4994782999856398,3.9666980000038166,1.6664580999931786,1.3166381000191905,0.99116,0.004104625327577631,-0.1477665117927947,,,,None,,-0.5,-0.5,0.6706565734774667,0.675,training_double_stim.csv,0.6749279999930877,0.7084826999926008,sarah_high1,001,2023-04-29_16h58.53.797,expectation_shapes_perceived_time,2022.2.4,120.09242313356899,
1,-500,0.5,none,23,green,red,no_Expectation,,,,,,0,6,6,2,train_doubleStim,,,,,,green,1.0337783159604463,1.0333333333333332,2.2996257999911904,0.9983070000016596,1e-05,1e-05,0.03334,1.0332447999971919,1.066644999984419,1.9996680000040215,2.0329245000029914,2.2996257999911904,2.2996257999911904,2.2996257999911904,0.0,2.4996603000035975,3.5412521999969613,1.2416264000057708,1.2416264000057708,0.43012,0.1442752864468074,0.03219365895920496,,,,None,,-0.5,-0.5,0.5004483159604465,0.5,training_double_stim.csv,0.499820400000317,0.5329841999919154,sarah_high1,001,2023-04-29_16h58.53.797,expectation_shapes_perceived_time,2022.2.4,120.09242313356899,
1,-500,0.5,none,77,green,red,no_Expectation,,,,,,0,7,7,1,train_doubleStim,,,,,,green,1.028336872144312,1.025,2.3002251000143588,0.9982136000180617,2e-05,2e-05,,1.024984800023958,1.0583285000175238,1.9997772000206169,,2.3002251000143588,2.3002251000143588,2.308336700021755,0.008111600007396191,2.5000803000002634,3.583234900026582,1.2830098000122234,1.2748982000048272,0.59752,0.1409401838469902,-0.04458311938017038,,,,None,,-0.5,-0.5,0.4950068721443121,0.49166666666666664,training_double_stim.csv,0.49183820001780987,0.5253670000238344,sarah_high1,001,2023-04-29_16h58.53.797,expectation_shapes_perceived_time,2022.2.4,120.09242313356899,
