id,delay,expectation,congruency,trial_num,stim_color,distractor_color,block,targetTimeMs,famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,isTrial,handMove.started,audioCue2Start.started,handOri,handMove.ended,audioCue2End.started,target_color,expected_target_onset,expected_target_onset_in_frames,fixationPoint.started,fixationPoint.stopped,audCueStart.started,placeholder.started,audCueStart.stopped,target.started,target.stopped,audCueEnd.started,audCueEnd.stopped,responsePointer.started,cueForRep.started,space2pass.started,responseStarted,rtUntillMotionTreshold,responsePointer.stopped,rTAfterMotionTreshold,rtDurationBtwRespMotion,perceivedTime,resp_x_coord,resp_y_coord,feedbackPointer.stopped,actualTime_x_coord,actualTime_y_coord,space2pass.keys,space2pass.rt,expected_delay,expected_delays_frame,expected_distractor,expected_distractor_frame,expBlockFiles,distractor.started,distractor.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,2,0,2,0,0,-1,-1,0,fam,0.4982235999777913,0.4982235999777913,270.0000000000009,2.489802199997939,2.489802199997939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p13_base_01,001,2023-05-10_15h24.17.119,expectation_shapes_perceived_time,2022.2.4,119.57474437053165,
,,,,,,,,,3,0,3,0,0,-1,-1,0,fam,0.4975228999974206,0.4975228999974206,270.0000000000009,2.4892419999232516,2.4892419999232516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p13_base_01,001,2023-05-10_15h24.17.119,expectation_shapes_perceived_time,2022.2.4,119.57474437053165,
,167,0.5,none,,red,green,,963.98668149932,,,,,0,0,0,88,trial,,,,,,red,0.96398668149932,0.9504132231404959,2.2915994999930263,0.9976979000493884,4e-05,4e-05,0.03309,0.9580590999685228,0.9916506999870762,1.999635300016962,2.0332271999213845,2.2915994999930263,2.2915994999930263,2.4915100999642164,2.599715600023046,0.3081161000300199,3.7745151999406517,1.4829156999476254,1.1747995999176055,0.98974,0.004766021231040589,-0.14774665816225824,,,,None,,0.167,0.1652892561983471,1.16431668149932,1.1487603305785123,trial_list_0.5_green.csv,1.1582174999639392,1.191453699953854,p13_base_01,001,2023-05-10_15h24.17.119,expectation_shapes_perceived_time,2022.2.4,119.57474437053165,
,300,0.5,none,,green,red,,1133.500122543268,,,,,0,1,1,211,trial,,,,,,green,1.133500122543268,1.1239669421487604,2.2916695000603795,0.996053000097163,4e-05,4e-05,,1.133163999998942,1.166553100105375,1.9994323001010343,,2.2916695000603795,2.2916695000603795,2.491592300008051,2.6581873000832275,0.36651780002284795,4.658020200091414,2.3663507000310346,1.9998329000081867,1.52177,-0.14747798166584017,0.010101231620947955,,,,None,,0.3,0.2975206611570248,1.4668301225432678,1.4462809917355373,trial_list_0.5_green.csv,1.458198800100945,1.4915476000169292,p13_base_01,001,2023-05-10_15h24.17.119,expectation_shapes_perceived_time,2022.2.4,119.57474437053165,
,-167,0.5,none,,green,red,,1482.6068886076157,,,,,0,2,2,159,trial,,,,,,green,1.4826068886076158,1.462809917355372,2.2916442999849096,0.9965459000086412,3e-05,3e-05,,1.4750555000500754,1.5081871000584215,2.000063500017859,,2.2916442999849096,2.2916442999849096,2.4918025999795645,2.975051200017333,0.6834069000324234,4.07499180000741,1.7833475000225008,1.0999405999900773,1.73436,-0.1095352916439285,0.09926635805231021,,,,None,,-0.167,-0.1652892561983471,1.2822768886076157,1.2644628099173554,trial_list_0.5_green.csv,1.2747642999747768,1.3079143000068143,p13_base_01,001,2023-05-10_15h24.17.119,expectation_shapes_perceived_time,2022.2.4,119.57474437053165,
,100,0.5,none,,red,green,,1273.4507679821947,,,,,0,3,3,66,trial,,,,,,red,1.2734507679821947,1.256198347107438,2.2916261999635026,0.9974758999887854,3e-05,3e-05,0.03321,1.2662172999698669,1.2998418000061065,1.999852600041777,2.033368800068274,2.2916261999635026,2.2916261999635026,2.4916224000044167,2.7165982000296935,0.42497200006619096,4.216444900026545,1.9248187000630423,1.4998466999968514,1.518,-0.14758726471273484,0.008353996115815181,,,,None,,0.1,0.09917355371900827,1.4067807679821946,1.3884297520661157,trial_list_0.5_green.csv,1.3999493999872357,1.4332849000347778,p13_base_01,001,2023-05-10_15h24.17.119,expectation_shapes_perceived_time,2022.2.4,119.57474437053165,
,300,0.5,none,,red,green,,362.581726625014,,,,,0,4,4,476,trial,,,,,,red,0.36258172662501403,0.3553719008264463,2.2916662000352517,0.9968540000263602,3e-05,3e-05,,0.35827580001205206,0.39144430006854236,1.999735299963504,,2.2916662000352517,2.2916662000352517,2.4915122999809682,2.649817500030622,0.3581512999953702,3.7997676000231877,1.508101399987936,1.1499500999925658,0.98951,0.004870656453013514,-0.14774324574140993,,,,None,,0.3,0.2975206611570248,0.695911726625014,0.6859504132231405,trial_list_0.5_green.csv,0.6911987999919802,0.7244252000236884,p13_base_01,001,2023-05-10_15h24.17.119,expectation_shapes_perceived_time,2022.2.4,119.57474437053165,
,-300,0.5,none,,green,red,,608.2642701428937,,,,,0,5,5,73,trial,,,,,,green,0.6082642701428936,0.6033057851239669,2.2917918000603095,0.9965079999528825,6e-05,6e-05,,0.6087269000709057,0.6418896000832319,2.0001996000064537,,2.2917918000603095,2.2917918000603095,2.4919494000496343,2.583636000053957,0.29184419999364763,4.033255500020459,1.7414636999601498,1.4496194999665022,0.60655,0.1396188311865346,-0.04856307171705551,,,,None,,-0.3,-0.2975206611570248,0.2749342701428937,0.2727272727272727,trial_list_0.5_green.csv,0.27527990005910397,0.3084127000765875,p13_base_01,001,2023-05-10_15h24.17.119,expectation_shapes_perceived_time,2022.2.4,119.57474437053165,
,-100,0.5,none,,red,green,,636.4160134587902,,,,,0,6,6,274,trial,,,,,,red,0.6364160134587902,0.628099173553719,2.2916845000581816,0.9974616999970749,3e-05,3e-05,0.03346,0.6333786000031978,0.6668193000368774,2.0001452000578865,2.0334747000597417,2.2916845000581816,2.2916845000581816,2.4918859000317752,2.550094100064598,0.25840960000641644,3.8335812999866903,1.5418967999285087,1.2834871999220923,1.0,0.0,-0.14782350948509485,,,,None,,-0.1,-0.09917355371900827,0.5030860134587902,0.49586776859504134,trial_list_0.5_green.csv,0.5000557000748813,0.533367200056091,p13_base_01,001,2023-05-10_15h24.17.119,expectation_shapes_perceived_time,2022.2.4,119.57474437053165,
,33,0.5,none,,red,green,,1240.0542488040312,,,,,0,7,7,58,trial,,,,,,red,1.2400542488040311,1.2231404958677685,2.291472499957308,0.9966303999535739,6e-05,6e-05,0.03325,1.232600299990736,1.2658800999633968,1.9996671999106184,2.033319699927233,2.291472499957308,2.291472499957308,2.491356899961829,2.68303700000979,0.3915645000524819,3.808258599950932,1.5167860999936238,1.125221599941142,1.49104,-0.14776489587871242,-0.0041623914332031674,,,,None,,0.033,0.03305785123966942,1.3063842488040311,1.2892561983471076,trial_list_0.5_green.csv,1.2992980999406427,1.3326248999219388,p13_base_01,001,2023-05-10_15h24.17.119,expectation_shapes_perceived_time,2022.2.4,119.57474437053165,
,100,0.5,none,,green,red,,1050.420933161426,,,,,0,8,8,315,trial,,,,,,green,1.050420933161426,1.0413223140495869,2.2917840000009164,0.99630709993653,4e-05,4e-05,0.03314,1.0500146000413224,1.0835489999735728,2.000239899964072,2.033279399969615,2.2917840000009164,2.2917840000009164,2.4916337999748066,2.6748522999696434,0.38306829996872693,4.141456800047308,1.8496728000463918,1.4666045000776649,1.14316,-0.06426613265653094,-0.13312270335995696,,,,None,,0.1,0.09917355371900827,1.183750933161426,1.1735537190082646,trial_list_0.5_green.csv,1.1834626999916509,1.2164978999644518,p13_base_01,001,2023-05-10_15h24.17.119,expectation_shapes_perceived_time,2022.2.4,119.57474437053165,
