delay,expectation,congruency,stim_color,distractor_color,targetTimeMs,famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,isTrial,handMove.started,audioCue2Start.started,handOri,handMove.ended,audioCue2End.started,target_color,expected_target_onset,expected_target_onset_in_frames,expected_delay,expected_delays_frame,expected_distractor,expected_distractor_frame,expBlockFiles,fixationPoint.started,fixationPoint.stopped,audCueStart.started,placeholder.started,audCueStart.stopped,distractor.started,distractor.stopped,target.started,target.stopped,audCueEnd.started,audCueEnd.stopped,responsePointer.started,responseStarted,rtUntillMotionTreshold,cueForRep.started,space2pass.started,responsePointer.stopped,rTAfterMotionTreshold,rtDurationBtwRespMotion,perceivedTime,resp_x_coord,resp_y_coord,space2pass.keys,participant,session,date,expName,psychopyVersion,frameRate,
167,0.5,none,green,red,616.2976003768565,,,,,0,4,4,279,trial,,,,,,green,0.6162976003768565,0.6166666666666667,0.167,0.16666666666666666,0.8166276003768566,0.8166666666666667,trial_list_0.5_green.csv,2.3085357999661937,0.9966628999682143,3e-05,3e-05,,0.8168196000042371,0.8503499999642372,0.6169445000123233,0.6503453999757767,2.0004939999780618,,2.3085357999661937,2.3170743999653496,0.00853859999915585,2.3085357999661937,2.5085181000176817,3.4832931999699213,1.1747574000037275,1.1662188000045717,0.39639,0.14006163388991835,0.04727080143784744,None,p12_base_02_cont,001,2023-05-10_11h09.03.874,expectation_shapes_perceived_time,2022.2.4,120.28483444436092,
-33,0.5,none,green,red,339.99059092155005,,,,,0,5,5,431,trial,,,,,,green,0.33999059092155004,0.3416666666666667,-0.033,-0.03333333333333333,0.27366059092155004,0.275,trial_list_0.5_green.csv,2.3082848000340164,0.9967574999900535,4e-05,4e-05,0.03306,0.2747255000285804,0.308130000019446,0.3415021999971941,0.3747787000029348,1.9997119000181556,2.0333159000147134,2.3082848000340164,2.3082848000340164,0.0,2.3082848000340164,2.508055599988438,4.024759099993389,1.7164742999593727,1.7164742999593727,0.5554,0.14559023943946708,-0.02559828385748872,None,p12_base_02_cont,001,2023-05-10_11h09.03.874,expectation_shapes_perceived_time,2022.2.4,120.28483444436092,
300,0.5,none,red,green,605.372122413557,,,,,0,6,6,170,trial,,,,,,red,0.605372122413557,0.6083333333333333,0.3,0.3,0.938702122413557,0.9416666666666667,trial_list_0.5_green.csv,2.3082449000212364,0.9963896000408567,4e-05,4e-05,0.03317,0.9418448000214994,0.975021900027059,0.6080040999804623,0.6412474000244401,2.000012999982573,,2.3082449000212364,2.350116599991452,0.04187169997021556,2.3082449000212364,2.508453599992208,3.3417146999854594,1.033469799964223,0.9915980999940075,0.40691,0.14154728381707976,0.042616386525572404,None,p12_base_02_cont,001,2023-05-10_11h09.03.874,expectation_shapes_perceived_time,2022.2.4,120.28483444436092,
-300,0.5,none,green,red,1171.8717283292451,,,,,0,7,7,445,trial,,,,,,green,1.171871728329245,1.175,-0.3,-0.3,0.8385417283292451,0.8416666666666667,trial_list_0.5_green.csv,2.3082271000021137,0.9974933000048622,3e-05,3e-05,,0.841829500044696,0.8751143000554293,1.1746831000200473,1.2079177999985404,2.0000927000073716,,2.3082271000021137,2.3082271000021137,0.0,2.3082271000021137,2.508264500007499,3.724812700005714,1.4165856000036001,1.4165856000036001,0.88709,0.051341226972398644,-0.13862131282547635,None,p12_base_02_cont,001,2023-05-10_11h09.03.874,expectation_shapes_perceived_time,2022.2.4,120.28483444436092,
-100,0.5,none,green,red,1748.4750143799515,,,,,0,8,8,393,trial,,,,,,green,1.7484750143799515,1.75,-0.1,-0.1,1.6151450143799515,1.6166666666666667,trial_list_0.5_green.csv,2.308575499977451,0.9977356999879703,8e-05,8e-05,0.03325,1.6161103999475017,1.6494708999525756,1.7494810999487527,1.7828799999551848,1.999892899999395,2.033423099957872,2.308575499977451,2.491571999969892,0.18299649999244139,2.308575499977451,2.5081587999593467,3.64180069998838,1.3332252000109293,1.1502287000184879,1.84446,-0.06939243558618738,0.13052386693592385,None,p12_base_02_cont,001,2023-05-10_11h09.03.874,expectation_shapes_perceived_time,2022.2.4,120.28483444436092,
300,0.5,none,red,green,1136.3347433268586,,,,,0,9,9,454,trial,,,,,,red,1.1363347433268587,1.1416666666666666,0.3,0.3,1.4696647433268586,1.475,trial_list_0.5_green.csv,2.308006899955217,0.9963885999750346,4e-05,4e-05,0.03341,1.475034999952186,1.5083394999965094,1.141450299997814,1.1748967999592423,1.9992382999625988,2.032622499973513,2.308006899955217,2.7746153000043705,0.4666084000491537,2.308006899955217,2.508128499961458,6.699829899996985,4.391823000041768,3.9252145999926142,1.76214,-0.10046427447306035,0.1084376295899699,None,p12_base_02_cont,001,2023-05-10_11h09.03.874,expectation_shapes_perceived_time,2022.2.4,120.28483444436092,
-300,0.5,none,green,red,737.7591837303523,,,,,0,10,10,409,trial,,,,,,green,0.7377591837303523,0.7416666666666667,-0.3,-0.3,0.40442918373035236,0.4083333333333333,trial_list_0.5_green.csv,2.3084446000284515,0.9974365999805741,4e-05,4e-05,0.03319,0.40808730002027005,0.4413515000487678,0.7413165000034496,0.7750724000507034,1.9997524000355043,2.032993400003761,2.3084446000284515,2.316363200021442,0.007918599992990494,2.3084446000284515,2.5081447000266053,3.524429700046312,1.2159851000178605,1.20806650002487,0.32416,0.12583589896069822,0.07757007470180027,None,p12_base_02_cont,001,2023-05-10_11h09.03.874,expectation_shapes_perceived_time,2022.2.4,120.28483444436092,
167,0.5,none,green,red,1010.3997768135594,,,,,0,11,11,401,trial,,,,,,green,1.0103997768135593,1.0166666666666666,0.167,0.16666666666666666,1.2107297768135592,1.2166666666666666,trial_list_0.5_green.csv,2.3086286999750882,0.9965012000175193,2e-05,2e-05,0.03355,1.2170200999826193,1.2503706999705173,1.0169189000152983,1.0502763999975286,2.0004110999871045,2.033578699978534,2.3086286999750882,2.408673500001896,0.10004480002680793,2.3086286999750882,2.508413699979428,3.31683740002336,1.0082087000482716,0.9081639000214636,1.49682,-0.14781611886391258,-0.0014781611886391256,None,p12_base_02_cont,001,2023-05-10_11h09.03.874,expectation_shapes_perceived_time,2022.2.4,120.28483444436092,
-300,0.5,none,red,green,1500.7233529740745,,,,,0,12,12,152,trial,,,,,,red,1.5007233529740744,1.5083333333333333,-0.3,-0.3,1.1673933529740745,1.1666666666666667,trial_list_0.5_green.csv,2.308124199975282,0.9970271000056528,3e-05,3e-05,,1.1666153999976814,1.1997859999537468,1.508257399953436,1.54155639995588,1.9995730999507941,,2.308124199975282,2.308124199975282,0.0,2.308124199975282,2.507955899985973,3.391461499966681,1.083337299991399,1.083337299991399,1.33637,-0.1287178481824567,-0.07268772603244615,None,p12_base_02_cont,001,2023-05-10_11h09.03.874,expectation_shapes_perceived_time,2022.2.4,120.28483444436092,
167,0.5,none,red,green,1496.3000855789176,,,,,0,13,13,428,trial,,,,,,red,1.4963000855789175,1.5,0.167,0.16666666666666666,1.6966300855789176,1.7,trial_list_0.5_green.csv,2.3083219000254758,0.9975613999995403,3e-05,3e-05,,1.7000912000075914,1.7331076000118628,1.499779200006742,1.5332723000319675,1.9998709000064991,,2.3083219000254758,2.4664516000193544,0.1581296999938786,2.3083219000254758,2.5080196000053547,3.691626299987547,1.3833043999620713,1.2251746999681927,1.79129,-0.0901295844396289,0.11716845977151755,None,p12_base_02_cont,001,2023-05-10_11h09.03.874,expectation_shapes_perceived_time,2022.2.4,120.28483444436092,
