id,delay,expectation,congruency,trial_num,stim_color,distractor_color,block,targetTimeMs,famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,isTrial,handMove.started,audioCue2Start.started,handOri,handMove.ended,audioCue2End.started,target_color,expected_target_onset,expected_target_onset_in_frames,fixationPoint.started,fixationPoint.stopped,audCueStart.started,placeholder.started,target.started,target.stopped,audCueEnd.started,audCueEnd.stopped,responsePointer.started,cueForRep.started,space2pass.started,responseStarted,rtUntillMotionTreshold,responsePointer.stopped,rTAfterMotionTreshold,rtDurationBtwRespMotion,perceivedTime,resp_x_coord,resp_y_coord,feedbackPointer.stopped,actualTime_x_coord,actualTime_y_coord,space2pass.keys,space2pass.rt,audCueStart.stopped,expected_delay,expected_delays_frame,expected_distractor,expected_distractor_frame,expBlockFiles,distractor.started,distractor.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,0,0,0,0,0,-1,-1,0,fam,0.5324311000003945,0.5324311000003945,269.99999999999955,2.5404757000069367,2.5404757000069367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p10_base1_01,001,2023-05-05_15h52.36.363,expectation_shapes_perceived_time,2022.2.4,120.39460537091526,
,,,,,,,,,1,0,1,0,0,-1,-1,0,fam,0.5065963000088232,0.5065963000088232,269.99999999999955,2.514557500006049,2.514557500006049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p10_base1_01,001,2023-05-05_15h52.36.363,expectation_shapes_perceived_time,2022.2.4,120.39460537091526,
,,,,,,,,,2,0,2,0,0,-1,-1,0,fam,0.49809819999791216,0.49809819999791216,269.99999999999955,2.5065042000060203,2.5065042000060203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p10_base1_01,001,2023-05-05_15h52.36.363,expectation_shapes_perceived_time,2022.2.4,120.39460537091526,
,,,,,,,,,3,0,3,0,0,-1,-1,0,fam,0.49821150000207126,0.49821150000207126,269.99999999999955,2.5065789999935078,2.5065789999935078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p10_base1_01,001,2023-05-05_15h52.36.363,expectation_shapes_perceived_time,2022.2.4,120.39460537091526,
1,500,0.5,none,98,red,green,no_Expectation,,,,,,0,0,0,5,train_doubleStim,,,,,,red,0.5570714252221264,0.5583333333333333,2.3087614999967627,0.9911953999981051,2e-05,2e-05,0.5583134000044083,0.5918996999971569,2.000290500000119,,2.3087614999967627,2.3087614999967627,2.508203699995647,2.3087614999967627,0.0,3.9913075999938883,1.6825460999971256,1.6825460999971256,0.52145,0.14748804745520872,-0.009953181116609177,,,,None,,,0.5,0.5,1.0904014252221264,1.0916666666666666,training_double_stim.csv,1.0917653999931645,1.125296400001389,p10_base1_01,001,2023-05-05_15h52.36.363,expectation_shapes_perceived_time,2022.2.4,120.39460537091526,
1,500,0.5,none,33,green,red,no_Expectation,,,,,,0,1,1,7,train_doubleStim,,,,,,green,1.0744242761073275,1.075,2.308347700003651,0.9979124999954365,2e-05,2e-05,1.074913699994795,1.1081124000047566,1.9999034999927972,,2.308347700003651,2.308347700003651,2.508590900004492,2.591695700000855,0.28334799999720417,3.2914412999962224,0.9830935999925714,0.6997455999953672,0.9841,0.007381953791968486,-0.14763907583936972,,,,None,,,0.5,0.5,1.6077542761073274,1.6166666666666667,training_double_stim.csv,1.6167840999987675,1.6497816000046441,p10_base1_01,001,2023-05-05_15h52.36.363,expectation_shapes_perceived_time,2022.2.4,120.39460537091526,
1,-500,0.5,none,68,red,green,no_Expectation,,,,,,0,2,2,3,train_doubleStim,,,,,,red,1.6662071395657212,1.675,2.3080940999934683,0.9974542000127258,2e-05,2e-05,1.6750215999927605,1.708611199996085,2.0001989000011235,,2.3080940999934683,2.3080940999934683,2.508856600004947,2.3080940999934683,0.0,4.575202899999567,2.267108800006099,2.267108800006099,1.64981,-0.13175184643406807,0.06703164116821006,,,,None,,,-0.5,-0.5,1.1328771395657213,1.1333333333333333,training_double_stim.csv,1.1333627999993041,1.1665592999925138,p10_base1_01,001,2023-05-05_15h52.36.363,expectation_shapes_perceived_time,2022.2.4,120.39460537091526,
1,-500,0.5,none,77,green,red,no_Expectation,,,,,,0,3,3,1,train_doubleStim,,,,,,green,1.0493194882581327,1.05,2.30879239999922,0.9976046000083443,1e-05,1e-05,1.0497600000089733,1.0832863000105135,1.9997952000121586,2.0332674000092084,2.30879239999922,2.30879239999922,2.5079244000080507,2.44166640000185,0.13287400000263005,3.5915603000030387,1.2827679000038188,1.1498939000011887,1.35576,-0.1329035026043228,-0.0647182273551485,,,,None,,0.03365,-0.5,-0.5,0.5159894882581326,0.5166666666666666,training_double_stim.csv,0.5166051999985939,0.5497916000022087,p10_base1_01,001,2023-05-05_15h52.36.363,expectation_shapes_perceived_time,2022.2.4,120.39460537091526,
1,-500,0.5,none,23,green,red,no_Expectation,,,,,,0,4,4,2,train_doubleStim,,,,,,green,0.8118798659514994,0.8166666666666667,2.3083508999989135,0.9984840999968583,2e-05,2e-05,0.8165110999980243,0.8499534000002313,1.9998593000054825,,2.3083508999989135,2.3083508999989135,2.508530299994163,2.31665759999305,0.00830669999413658,3.632989199992153,1.3246382999932393,1.3163315999991028,1.0083,-0.0038549539833470036,-0.1477732360283018,,,,None,,0.03305,-0.5,-0.5,0.2785498659514994,0.2833333333333333,training_double_stim.csv,0.2831446999916807,0.3164747999981046,p10_base1_01,001,2023-05-05_15h52.36.363,expectation_shapes_perceived_time,2022.2.4,120.39460537091526,
1,500,0.5,none,25,green,red,no_Expectation,,,,,,0,5,5,6,train_doubleStim,,,,,,green,0.2990806682414647,0.3,2.308529899994028,0.997925599993323,2e-05,2e-05,0.3007696999993641,0.33388779999222606,2.0005935999943176,,2.308529899994028,2.308529899994028,2.5088864999997895,2.4252611999982037,0.11673130000417586,3.3757984999974724,1.0672686000034446,0.9505372999992687,0.48485,0.14765619363126742,0.00703124731577464,,,,None,,,0.5,0.5,0.8324106682414647,0.8333333333333334,training_double_stim.csv,0.8337443000054918,0.8669621000008192,p10_base1_01,001,2023-05-05_15h52.36.363,expectation_shapes_perceived_time,2022.2.4,120.39460537091526,
