id,delay,expectation,congruency,trial_num,stim_color,distractor_color,block,famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,isTrial,handMove.started,audioCue2Start.started,handOri,handMove.ended,audioCue2End.started,target_color,expected_target_onset,expected_target_onset_in_frames,fixationPoint.started,fixationPoint.stopped,audCueStart.started,placeholder.started,audCueStart.stopped,target.started,target.stopped,audCueEnd.started,responsePointer.started,cueForRep.started,space2pass.started,responseStarted,rtUntillMotionTreshold,responsePointer.stopped,rTAfterMotionTreshold,rtDurationBtwRespMotion,perceivedTime,resp_x_coord,resp_y_coord,feedbackPointer.stopped,actualTime_x_coord,actualTime_y_coord,space2pass.keys,space2pass.rt,audCueEnd.stopped,expected_delay,expected_delays_frame,expected_distractor,expected_distractor_frame,expBlockFiles,distractor.started,distractor.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,17,0,17,0,,,,,fam,0.4974497999937739,0.4974497999937739,269.99999999999955,2.5058360999973956,2.5058360999973956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ahmed_base01,001,2023-04-29_13h16.43.447,expectation_shapes_perceived_time,2022.2.4,120.36301485659816,
,,,,,,,,18,0,18,0,,,,,fam,0.4972728000138886,0.4972728000138886,269.99999999999955,2.5058544000203256,2.5058544000203256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ahmed_base01,001,2023-04-29_13h16.43.447,expectation_shapes_perceived_time,2022.2.4,120.36301485659816,
,,,,,,,,19,0,19,0,,,,,fam,0.4977150999766309,0.4977150999766309,269.99999999999955,2.505588699976215,2.505588699976215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ahmed_base01,001,2023-04-29_13h16.43.447,expectation_shapes_perceived_time,2022.2.4,120.36301485659816,
,,,,,,,,,,,,0,0,0,0,test,,,,,,red,0.921636916004852,0.9173553719008265,2.3080542999960016,0.9990758999774698,4.05999890062958e-05,4e-05,0.033237600000575185,0.9246686999977101,0.9583273000025656,1.999547099985648,2.3080542999960016,2.3080542999960016,2.6080360999912955,3.5079894999798853,1.1999351999838836,8.99980669998331,6.691752399987308,5.491817200003425,0.58677,0.14236460811719537,-0.03980085818330194,8.99980669998331,0.0360254258371217,-0.14336651857998076,space,6.3919630000018515,,,,,,,,,ahmed_base01,001,2023-04-29_13h16.43.447,expectation_shapes_perceived_time,2022.2.4,120.36301485659816,
,,,,,,,,,,,,1,0,1,0,test,,,,,,green,1.5025688226504483,1.4958677685950414,2.3079277999931946,0.9962156999972649,4.980000085197389e-05,5e-05,0.03310959998634644,1.507595000002766,1.5409125000005588,1.9996664999925997,2.3079277999931946,2.3079277999931946,2.607950700010406,2.641467100009322,0.3335393000161275,8.049642300000414,5.74171450000722,5.408175199991092,1.26196,-0.10838003254017581,-0.10052640699378626,8.049642300000414,-0.1478186957837139,0.001192951504363521,space,5.439550799987046,,,,,,,,,ahmed_base01,001,2023-04-29_13h16.43.447,expectation_shapes_perceived_time,2022.2.4,120.36301485659816,
,,,,,,,,,,,,2,0,2,0,test,,,,,,red,0.3736518644081334,0.371900826446281,2.307802900002571,0.9968507000012323,4.040001658722758e-05,4e-05,,0.37491760001285,0.40831990001606755,2.000145700003486,2.307802900002571,2.307802900002571,2.607774000003701,3.391547100007301,1.0837442000047304,6.933373300009407,4.625570400006836,3.541826200002106,0.73545,0.1091950628290049,-0.09964049483146697,6.933373300009407,0.13633030181166578,0.05714751757014512,space,4.3252825000090525,,,,,,,,,ahmed_base01,001,2023-04-29_13h16.43.447,expectation_shapes_perceived_time,2022.2.4,120.36301485659816,
,,,,,,,,,,,,3,0,3,0,test,,,,,,green,1.6467849459151231,1.6363636363636365,2.308397499989951,0.9964479000191204,3.200001083314419e-05,3e-05,0.03333420000853948,1.6501083000039216,1.6834327999968082,2.000225399999181,2.308397499989951,2.308397499989951,2.608638300007442,2.308397499989951,0.0,7.824970899993787,5.516573400003836,5.516573400003836,1.45483,-0.14633780836598625,-0.020905401195140897,7.824970899993787,-0.13238282336557844,0.06577672866788054,space,5.215411999990465,2.033588799997233,,,,,,,,ahmed_base01,001,2023-04-29_13h16.43.447,expectation_shapes_perceived_time,2022.2.4,120.36301485659816,
,,,,,,,,,,,,4,0,4,0,test,,,,,,red,0.8479192215644943,0.8429752066115703,2.308638099988457,0.9966529000084847,3.369999467395246e-05,3e-05,,0.8496510999975726,0.8830910999968182,2.000112599984277,2.308638099988457,2.308638099988457,2.6084539000003133,2.308638099988457,0.0,9.758119599981,7.449481499992544,7.449481499992544,0.64898,0.13192614708271783,-0.06668794248137386,9.758119599981,0.06797002289908757,-0.13127020203986675,space,7.142263499990804,,,,,,,,,ahmed_base01,001,2023-04-29_13h16.43.447,expectation_shapes_perceived_time,2022.2.4,120.36301485659816,
,,,,,,,,,,,,5,0,5,0,test,,,,,,green,1.0778957272758443,1.0743801652892562,2.308965599979274,0.9968047000002116,3.809999907389283e-05,4e-05,0.033248099993215874,1.0837646999862045,1.1171440999896731,2.000518099986948,2.308965599979274,2.308965599979274,2.608453399996506,2.384035399998538,0.07506980001926422,8.50874499999918,6.1997794000199065,6.124709600000642,0.62433,0.13668916166053663,-0.05628377244845626,8.50874499999918,-0.03581488998879197,-0.14341925816145001,space,5.897241799975745,2.033857899979921,,,,,,,,ahmed_base01,001,2023-04-29_13h16.43.447,expectation_shapes_perceived_time,2022.2.4,120.36301485659816,
,,,,,,,,,,,,6,0,6,0,test,,,,,,red,1.2073348555136882,1.1983471074380165,2.308261099999072,0.9968932000047062,3.2100011594593525e-05,3e-05,0.03321130000404082,1.2080704999971204,1.2415228000027128,2.000140999996802,2.308261099999072,2.308261099999072,2.608265799994115,3.3082768000022043,1.0000157000031322,10.366124099993613,8.05786299999454,7.057847299991408,0.93598,0.029531238726253482,-0.14484369470495756,10.366124099993613,-0.08962093529000978,-0.11755797682094482,space,7.755712899990613,2.0333173999970313,,,,,,,,ahmed_base01,001,2023-04-29_13h16.43.447,expectation_shapes_perceived_time,2022.2.4,120.36301485659816,
