famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,fixationPoint.started,audCueStart.started,fixationPoint.stopped,audCueStart.stopped,distractor.started,distractor.stopped,target.started,target.stopped,sapce2pass_2.started,audCueEnd.started,audCueEnd.stopped,responsePointer.started,sapce2pass_2.keys,sapce2pass_2.rt,x_coord,y_coord,participant,session,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0.0029078000006848015,0.4993337000014435,0.4993337000014435,0.5326817000022857,1.4660051999999268,1.4995794999995269,1.6356272000011813,1.6693360000026587,2.4994780000015453,2.516717800001061,2.549602400002186,14.32829860000129,space,1.9596465999966313,,,852142,001,2023-02-19_16h08.33.353,expectation_shapes_perceived_time,2022.2.4,59.76907619791252,
,,,,1,0,1,0,0.0024481000000378117,0.4976935000013327,0.4976935000013327,0.5312241000028735,1.9477722000010544,1.9818618000026618,1.9818618000026618,2.01574580000306,2.499112299999979,2.4816215000028023,2.514475500000117,18.762875300002634,space,2.9547706999983347,0.11328125,0.125,852142,001,2023-02-19_16h08.33.353,expectation_shapes_perceived_time,2022.2.4,59.76907619791252,
,,,,2,0,2,0,0.002649599999131169,0.4980565000005299,0.4980565000005299,0.5311992999995709,1.5643371000005573,1.5984572999986995,1.8651341000004322,1.898396500000672,2.5152684999993653,2.4819716999991215,2.5152684999993653,24.23204280000209,space,13.455013699996925,-0.15625,0.09505208333333333,852142,001,2023-02-19_16h08.33.353,expectation_shapes_perceived_time,2022.2.4,59.76907619791252,
,,,,,,,,0.0023269000012078322,0.4977355000009993,0.4977355000009993,,0.8646097000018926,0.8985095000025467,0.8985095000025467,0.9315249999999651,2.5155969000006735,2.4818205000010494,2.5155969000006735,40.20535970000128,,,0.18489583333333334,-0.005208333333333333,,,,,,,
