famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,audioCue2Start.started,audioCue2End.started,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0.001943899998877896,2.0170218000002933,482583,001,2023-01-02_16h54.14.709,expectation_shapes_perceived_time,2022.2.4,60.03730718216426,
1,0,1,0,0.002286800001456868,2.0158541000000696,482583,001,2023-01-02_16h54.14.709,expectation_shapes_perceived_time,2022.2.4,60.03730718216426,
,,,,0.0013748999990639277,2.016284799999994,,,,,,,
