famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,fixationPoint.started,audCueStart.started,fixationPoint.stopped,audCueStart.stopped,target.started,target.stopped,distractor.started,distractor.stopped,audCueEnd.started,audCueEnd.stopped,sapce2pass_2.keys,sapce2pass_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,9.950212199997623,0.49892450000334065,10.450291800007108,0.5323617000103695,11.867919299998903,11.900833399995463,11.934303000001819,11.967614699999103,2.499883399999817,2.5329375000001164,space,3.774743400004809,347022,001,2023-02-16_18h56.51.905,expectation_shapes_perceived_time,2022.2.4,60.2679392044018,
,,,,1,0,1,0,13.75163290000637,0.49888210000062827,14.251645199998165,,,,14.83550610000384,,,,space,1.0683728000003612,347022,001,2023-02-16_18h56.51.905,expectation_shapes_perceived_time,2022.2.4,60.2679392044018,
,,,,2,0,2,0,14.851892699996824,0.49870409999857657,15.352573199998005,0.5314463999966392,,,,,,,space,1.2129751999891596,347022,001,2023-02-16_18h56.51.905,expectation_shapes_perceived_time,2022.2.4,60.2679392044018,
,,,,3,0,3,0,16.085868800000753,0.49880500001017936,16.5860679000034,0.5321095000108471,16.90286470000865,16.936266300006537,16.702439200002118,16.73589740000898,,,space,1.104858199993032,347022,001,2023-02-16_18h56.51.905,expectation_shapes_perceived_time,2022.2.4,60.2679392044018,
,,,,4,0,4,0,17.219781599997077,0.4988842000020668,17.71925470000133,,,,,,,,space,1.3203412000002572,347022,001,2023-02-16_18h56.51.905,expectation_shapes_perceived_time,2022.2.4,60.2679392044018,
