famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,audioCue2Start.started,handMove.started,handOri,handMove.ended,audioCue2End.started,target.started,target.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,8.383919749999768,8.416938849995494,270.0,10.418237650004448,10.418237650004448,,,056983,001,2023-02-08_11h31.58.536,expectation_shapes_perceived_time,2022.2.4,59.79448635348473,
,,,,,,,,,,,,,12.43561060000502,12.46898940000392,,,,,,,
