id,delay,expectation,congruency,trial_num,stim_color,distractor_color,block,famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,fixationPoint.started,fixationPoint.stopped,audCueStart.started,audCueStart.stopped,distractor.started,distractor.stopped,target.started,target.stopped,audCueEnd.started,sapce2pass_2.started,responsePointer.started,responsePointer.stopped,perceivedTime,pTemporalError,sapce2pass_2.keys,sapce2pass_2.rt,x_coord,y_coord,audCueEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,-33,0.85,met,125,green,red,high_Expectation,,,,,0,0,0,124,0.02261829999042675,0.49916020000819117,0.5159090000088327,0.5492782000219449,1.1830262999865226,1.216212400002405,1.216212400002405,1.2495788999949582,2.500240799970925,2.500240799970925,2.983508199977223,2.983508199977223,236.76006740336115,-484.5056573341634,space,0.46751000004587695,,,,418398,001,2023-02-23_15h54.51.633,expectation_shapes_perceived_time,2022.2.4,59.76303954581642,
1,33,0.85,met,46,green,red,high_Expectation,,,,,0,1,1,45,0.003233299998100847,0.4981103999889456,0.5147658999776468,,1.9653161999885924,1.9985797999543138,1.9316608000081033,1.9653161999885924,2.498627499968279,2.5152499999967404,,,,,space,0.2374339000089094,0.8331029721769061,0.905459289375812,2.531934899976477,418398,001,2023-02-23_15h54.51.633,expectation_shapes_perceived_time,2022.2.4,59.76303954581642,
1,-167,0.85,met,137,green,red,high_Expectation,,,,,0,2,2,136,0.0030856000375933945,0.498002800042741,0.5148343000328168,0.5482381000183523,1.7987845000461675,1.8317768000415526,1.965425000002142,1.9987720000208355,2.4989448000560515,2.5154819000163116,2.9826099000056274,3.1324395000119694,793.5612321486835,-684.5817684113738,space,0.6088792000082321,0.6001448978961668,0.675402010509748,2.532258899998851,418398,001,2023-02-23_15h54.51.633,expectation_shapes_perceived_time,2022.2.4,59.76303954581642,
1,167,0.85,met,230,green,red,high_Expectation,,,,,0,3,3,229,0.0028183000395074487,0.4984004000434652,0.5150743999984115,0.5484203000087291,2.1488795000477694,2.1823150000418536,1.9820669000037014,2.0154805000056513,2.4987577000283636,2.5155553999939,2.9825793000054546,3.4492170000448823,1619.2003172771201,128.42147349330094,space,0.9268069000099786,0.4707466713540438,-0.6211087349185263,2.532499600027222,418398,001,2023-02-23_15h54.51.633,expectation_shapes_perceived_time,2022.2.4,59.76303954581642,
1,-33,0.85,met,144,green,red,high_Expectation,,,,,0,4,4,143,0.001973700011149049,0.49902409996138886,0.5155565000022762,0.5488910999847576,0.8490697999950498,0.8825042999815196,0.8825042999815196,0.9157849999610335,2.499791499983985,2.5162711999728344,,,,,space,0.06337940000230446,-0.4721734859154607,0.18557588563645733,2.5330525999888778,418398,001,2023-02-23_15h54.51.633,expectation_shapes_perceived_time,2022.2.4,59.76303954581642,
1,-100,0.85,met,82,green,red,high_Expectation,,,,,0,5,5,81,0.003997599997092038,0.4979466000222601,0.5147268999717198,0.5479008000111207,0.6479922999860719,0.6813216999871656,0.7478056999971159,0.7813005999778397,2.4987361999810673,2.515886200009845,,,,,space,0.04355940001551062,-0.17974262532744856,0.5883299168414959,2.5322760000126436,418398,001,2023-02-23_15h54.51.633,expectation_shapes_perceived_time,2022.2.4,59.76303954581642,
1,-233,0.15,unmet,257,red,green,high_Expectation,,,,,0,6,6,256,0.006863099988549948,0.49499169999035075,0.5113421999849379,0.5448654999490827,1.111495399964042,1.1449925999622792,1.3449124999460764,1.378534999967087,2.4954298999509774,2.511827199952677,,,,,space,0.15132689999882132,0.7106234195930303,0.0024728379484977303,,418398,001,2023-02-23_15h54.51.633,expectation_shapes_perceived_time,2022.2.4,59.76303954581642,
1,-33,0.85,met,128,green,red,high_Expectation,,,,,0,7,7,127,0.0020195000106468797,0.499089399992954,0.5157296999823302,0.5490877999691293,0.682490199978929,0.7160445000045002,0.7160445000045002,0.749009000021033,2.500012299977243,2.500012299977243,,,,,space,0.06561089999740943,-0.6744151934685931,-0.6954980720502111,2.5332231000065804,418398,001,2023-02-23_15h54.51.633,expectation_shapes_perceived_time,2022.2.4,59.76303954581642,
1,-100,0.85,met,26,green,red,high_Expectation,,,,,0,8,8,25,0.004504400014411658,0.4972778999945149,0.5139418000471778,0.5471816000062972,1.8478808000218123,1.881142300029751,1.947939200035762,1.981506000040099,2.4982576000038534,2.515101900033187,,,,,space,0.01577619998715818,0.12345464549567486,-0.7851347503956609,,418398,001,2023-02-23_15h54.51.633,expectation_shapes_perceived_time,2022.2.4,59.76303954581642,
1,-300,0.85,met,164,green,red,high_Expectation,,,,,0,9,9,163,0.004299799969885498,0.4975548000074923,0.5141188999987207,,0.7977638999582268,0.8310023999656551,1.09779599995818,1.1312602999969386,2.4984974999679253,2.515191699960269,,,,,space,0.16738569998415187,0.2912092693838597,-0.00821345780954541,2.531976800004486,418398,001,2023-02-23_15h54.51.633,expectation_shapes_perceived_time,2022.2.4,59.76303954581642,
,,,,,,,,,,,,,,,,0.003902799973729998,0.49800999998115003,0.5147261999663897,0.5481107999803498,1.7149311999673955,1.7485244999988936,2.015456599998288,2.0483893999480642,,,,,,,,,-0.7642061352658203,-0.9731511226089913,,,,,,,,
