famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,fixationPoint.started,audCueStart.started,fixationPoint.stopped,audCueStart.stopped,target.started,target.stopped,distractor.started,distractor.stopped,sapce2pass_2.keys,sapce2pass_2.rt,audCueEnd.started,audCueEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,10.12614290000056,0.49902010000369046,10.625700899996446,0.5323563999991165,11.526316600007704,11.55954550000024,11.792842599999858,11.826481299998704,space,2.3766944000090007,,,090775,001,2023-02-16_18h53.55.550,expectation_shapes_perceived_time,2022.2.4,60.08012284993099,
,,,,1,0,1,0,12.526550299997325,0.4987230999977328,13.026715500003775,0.5317252999957418,14.077889899999718,14.110304300003918,14.144363100000191,14.177018700007466,space,3.6583510000054957,2.4994852999952855,2.532275399993523,090775,001,2023-02-16_18h53.55.550,expectation_shapes_perceived_time,2022.2.4,60.08012284993099,
,,,,2,0,2,0,16.211695400008466,0.4985273999918718,16.71177069999976,0.5316850999952294,,,18.14572680000856,18.178916400007438,space,1.9601128000067547,,,090775,001,2023-02-16_18h53.55.550,expectation_shapes_perceived_time,2022.2.4,60.08012284993099,
,,,,3,0,3,0,18.19551859999774,0.498836000013398,18.695532900004764,0.5318926000036299,19.228762700004154,19.26203369999712,19.432925600005547,19.463025600009132,space,1.3641604000004008,,,090775,001,2023-02-16_18h53.55.550,expectation_shapes_perceived_time,2022.2.4,60.08012284993099,
,,,,,,,,19.579931000000215,0.49727369999163784,20.07953620000626,0.530873799987603,,,,,,,,,,,,,,,
