id,delay,expectation,congruency,trial_num,stim_color,distractor_color,block,famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,fixationPoint.started,audCueStart.started,fixationPoint.stopped,audCueStart.stopped,target.started,target.stopped,distractor.started,distractor.stopped,sapce2pass_2.started,audCueEnd.started,responsePointer.started,responsePointer.stopped,perceivedTime,pTemporalError,sapce2pass_2.keys,sapce2pass_2.rt,x_coord,y_coord,audCueEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,167,0.15,unmet,224,red,green,high_Expectation,,,,,0,0,0,223,0.0218553000013344,0.5155489000026137,0.5155489000026137,0.5493040000437759,0.915880200045649,0.9491746000130661,1.0830986000364646,1.1157025000429712,2.4996769000426866,2.516499900026247,2.9997494000126608,3.5331892000394873,488.83196142596813,92.58590589399148,space,1.0277178999967873,,,,667343,001,2023-02-23_15h42.45.154,expectation_shapes_perceived_time,2022.2.4,59.75543296603061,
1,-33,0.85,met,67,green,red,high_Expectation,,,,,0,1,1,66,0.0030192999984137714,0.4978205999941565,0.4978205999941565,,1.6484044000389986,1.681646000011824,1.6154704000218771,1.6484044000389986,2.4996872000047006,2.4996872000047006,3.032356899988372,3.8817826000158675,782.0115745557423,-376.4922642861088,space,1.3674599999794737,0.2642807962674425,0.00927621144490609,,667343,001,2023-02-23_15h42.45.154,expectation_shapes_perceived_time,2022.2.4,59.75543296603061,
1,300,0.85,met,289,green,red,high_Expectation,,,,,0,2,2,288,0.0019904999644495547,0.49969480000436306,0.49969480000436306,0.5328851999947801,1.0661117999698035,1.1001479999977164,1.3832806999562308,1.416314699978102,2.5002788999699987,2.5337671999586746,3.016702399996575,3.333982899959665,1482.180568453915,913.8564247462998,space,0.8268422999535687,0.3986169767451566,-0.4880928661619828,,667343,001,2023-02-23_15h42.45.154,expectation_shapes_perceived_time,2022.2.4,59.75543296603061,
1,-167,0.85,met,126,green,red,high_Expectation,,,,,0,3,3,125,0.0030544999754056334,0.498743399977684,0.498743399977684,,1.1992770999786444,1.2329340999713168,1.000839399988763,1.0491416999720968,2.5309736999915913,2.6329938999842852,3.115484700014349,3.648900899977889,1778.6927595829034,1135.0524703557064,space,1.1082546999678016,-0.788966417836972,-0.04421363780247933,,667343,001,2023-02-23_15h42.45.154,expectation_shapes_perceived_time,2022.2.4,59.75543296603061,
1,-33,0.85,met,125,green,red,high_Expectation,,,,,0,4,4,124,0.0030113999964669347,0.4980473999748938,0.4980473999748938,0.531876299995929,1.4491854999796487,1.4827853000024334,1.4159192999941297,1.4491854999796487,2.51571619999595,2.51571619999595,2.9988126999814995,3.8491981999832205,1776.5445441863826,841.1286519744076,space,1.3218955000047572,-0.8237245480123476,0.9874271265509071,2.548972899967339,667343,001,2023-02-23_15h42.45.154,expectation_shapes_perceived_time,2022.2.4,59.75543296603061,
1,233,0.85,met,73,green,red,high_Expectation,,,,,0,5,5,72,0.0023885000264272094,0.49903060001088306,0.49903060001088306,,1.231857399980072,1.265573900018353,1.4654112000134774,1.4987460999982432,2.4991028999793343,2.4991028999793343,2.982680100016296,3.533073599974159,1728.4442523011815,999.8300357812896,space,1.0203073999728076,-0.255517738812443,0.30212921375192514,2.532541799999308,667343,001,2023-02-23_15h42.45.154,expectation_shapes_perceived_time,2022.2.4,59.75543296603061,
1,100,0.85,met,132,green,red,high_Expectation,,,,,0,6,6,131,0.002294000005349517,0.49860999995144084,0.49860999995144084,0.5319691000040621,1.8156292999628931,1.848915999988094,1.9160621999762952,1.9495143999811262,2.499139799969271,2.499139799969271,2.9833950999891385,3.499683999980334,1502.2199061638928,184.14974713959464,space,0.9879084000131115,-0.6137811141553331,0.5358121498749095,2.532593199983239,667343,001,2023-02-23_15h42.45.154,expectation_shapes_perceived_time,2022.2.4,59.75543296603061,
1,-100,0.15,unmet,86,red,green,high_Expectation,,,,,0,7,7,85,0.0021951000089757144,0.49895529996138066,0.49895529996138066,,1.5492441999958828,1.582550099992659,1.4492103999946266,1.482785000000149,2.4993572999956086,2.4993572999956086,2.983891499985475,3.416578300006222,979.4447540175087,-66.69645582647183,space,0.902956300007645,-0.5432210609365722,0.0037885073156724847,2.532930999994278,667343,001,2023-02-23_15h42.45.154,expectation_shapes_perceived_time,2022.2.4,59.75543296603061,
1,233,0.85,met,108,green,red,high_Expectation,,,,,0,8,8,107,0.001991499972064048,0.4987132999813184,0.4987132999813184,0.5327899999683723,2.0003123999922536,2.033021999988705,2.23396819998743,2.2670133999781683,2.5005860999808647,2.5005860999808647,2.983162899967283,3.533464999985881,225.8408177829544,-1280.4548067390465,space,1.0280228000483476,0.05726246892258802,-0.885509547526889,2.5338627999881282,667343,001,2023-02-23_15h42.45.154,expectation_shapes_perceived_time,2022.2.4,59.75543296603061,
1,-167,0.85,met,95,green,red,high_Expectation,,,,,0,9,9,94,0.0027003000141121447,0.49862920003943145,0.49862920003943145,,1.6663409000029787,1.6991496999980882,1.4992407000390813,1.5325819000136107,2.4992629000335,2.4992629000335,2.9824299000320025,3.466864700021688,1339.6610961544427,171.98062348366784,space,0.9622525000013411,0.7496748747686695,0.8730759638498331,2.532682200020645,667343,001,2023-02-23_15h42.45.154,expectation_shapes_perceived_time,2022.2.4,59.75543296603061,
