famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,audioCue2Start.started,handMove.started,handOri,handMove.ended,audioCue2End.started,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,8.748547520000102,8.782321220000995,270.0,10.783402519999981,10.783402519999981,022653,001,2023-01-10_14h04.27.695,expectation_shapes_perceived_time,2022.2.4,59.90316055116852,
1,0,1,0,12.633575520000704,12.666757120000511,270.0,14.668026120000832,14.668026120000832,022653,001,2023-01-10_14h04.27.695,expectation_shapes_perceived_time,2022.2.4,59.90316055116852,
2,0,2,0,24.90502812000068,24.938462619999882,270.0,27.04305492000003,27.04305492000003,022653,001,2023-01-10_14h04.27.695,expectation_shapes_perceived_time,2022.2.4,59.90316055116852,
