famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,743269,001,2023-01-04_00h27.34.784,expectation_shapes_perceived_time,2022.2.4,60.01698480677342,
1,0,1,0,743269,001,2023-01-04_00h27.34.784,expectation_shapes_perceived_time,2022.2.4,60.01698480677342,
2,0,2,0,743269,001,2023-01-04_00h27.34.784,expectation_shapes_perceived_time,2022.2.4,60.01698480677342,
