famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,fixationPoint.started,audCueStart.started,fixationPoint.stopped,audCueStart.stopped,target.started,target.stopped,distractor.started,distractor.stopped,audCueEnd.started,audCueEnd.stopped,sapce2pass_2.started,responsePointer.started,sapce2pass_2.keys,sapce2pass_2.rt,x_coord,y_coord,participant,session,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0.0024319000003742985,0.4831763000001956,0.4831763000001956,0.5163052000025345,0.6166486000001896,0.6334166000015102,0.9000962999998592,0.9167822000017622,2.4669897000021592,2.500330099999701,2.500330099999701,17.653427499997633,space,2.3683106999997108,,,682863,001,2023-02-19_16h17.29.679,expectation_shapes_perceived_time,2022.2.4,59.83376982091684,
,,,,1,0,1,0,0.0015476000007765833,0.48185649999868474,0.48185649999868474,,1.732725300000311,1.749209500001598,1.9495745999993233,1.966350099999545,2.4668458000014652,2.499829899999895,2.499829899999895,22.53514649999852,space,3.8465149000003294,-0.10416666666666667,0.14973958333333334,682863,001,2023-02-19_16h17.29.679,expectation_shapes_perceived_time,2022.2.4,59.83376982091684,
,,,,,,,,0.00291559999823221,0.4807809999983874,0.4807809999983874,0.5141089999997348,0.9141834000001836,0.930982199999562,0.930982199999562,0.9476017999986652,2.465270100001362,2.4987696999996842,2.515312299998186,28.887848099999246,,,0.17708333333333334,-0.0026041666666666665,,,,,,,
