famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,orientation,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,270.00000000000034,023141,001,2023-01-04_17h18.21.819,expectation_shapes_perceived_time,2022.2.4,61.37914018131688,
1,0,1,0,270.00000000000034,023141,001,2023-01-04_17h18.21.819,expectation_shapes_perceived_time,2022.2.4,61.37914018131688,
,,,,270.00000000000034,,,,,,,
