famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,orientation,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,270.0,049691,001,2023-01-04_17h00.00.013,expectation_shapes_perceived_time,2022.2.4,59.81172465215606,
1,0,1,0,270.0,049691,001,2023-01-04_17h00.00.013,expectation_shapes_perceived_time,2022.2.4,59.81172465215606,
2,0,2,0,270.0,049691,001,2023-01-04_17h00.00.013,expectation_shapes_perceived_time,2022.2.4,59.81172465215606,
,,,,270.0,,,,,,,
