famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,audioCue2Start.started,handMove.started,handOri,handMove.ended,audioCue2End.started,fixationPoint.started,audCueStart.started,fixationPoint.stopped,audCueStart.stopped,target.started,target.stopped,distractor.started,distractor.stopped,sapce2pass_2.started,audCueEnd.started,audCueEnd.stopped,responsePointer.started,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,15.991147290004301,16.036261590014327,270.0000000000002,18.055276090008554,18.055276090008554,,,,,,,,,,,,,602539,001,2023-02-21_17h12.00.779,expectation_shapes_perceived_time,2022.2.4,60.447176111523355,
,,,,,,,,,,,,,0.003259100019931793,0.5018815000075847,0.5018815000075847,0.5354035000200383,0.8163641999999527,0.8498521000146866,1.11665070001618,1.1501455000252463,2.4997507000225596,2.516332400002284,2.5496164000069257,3.0163739999989048,,,,,,,
