famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,fixationPoint.started,audCueStart.started,fixationPoint.stopped,audCueStart.stopped,target.started,target.stopped,distractor.started,distractor.stopped,audCueEnd.started,sapce2pass_2.started,responsePointer.started,responsePointer.stopped,perceivedTime,pTemporalError,sapce2pass_2.keys,sapce2pass_2.rt,x_coord,y_coord,audCueEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0.004241699993144721,0.4988125000090804,0.4988125000090804,0.5315708999987692,1.1156942000088748,1.1486279999953695,1.215512700000545,1.2491460000164807,2.5008560999995098,2.5008560999995098,3.000050000002375,5.400205000012647,133.84455293883525,-487.09599880684937,space,2.8928759999980684,,,,186432,001,2023-02-21_17h43.31.494,expectation_shapes_perceived_time,2022.2.4,59.90115112782661,
,,,,1,0,1,0,0.0021818999957758933,0.49885299999732524,0.49885299999732524,,2.0157469999976456,2.0490944999910425,2.0490944999910425,2.0820745999808423,2.499025899975095,2.499025899975095,2.9988582999794744,5.2670356999733485,643.5159811084121,-876.8725985342406,space,2.762739600002533,0.0763888888888889,0.17083333333333334,2.5325031999964267,186432,001,2023-02-21_17h43.31.494,expectation_shapes_perceived_time,2022.2.4,59.90115112782661,
,,,,2,0,2,0,0.002704100013943389,0.4978658000181895,0.4978658000181895,,1.6148420000099577,1.6480010999948718,1.7145371999940835,1.7484392000187654,2.4982385000039358,2.51538850000361,2.99923879999551,4.9333972000167705,1375.1847226611349,255.89943433036615,space,2.41705320001347,0.175,-0.08472222222222223,2.531957600003807,186432,001,2023-02-21_17h43.31.494,expectation_shapes_perceived_time,2022.2.4,59.90115112782661,
,,,,3,0,3,0,0.003905799996573478,0.4969785000139382,0.4969785000139382,0.5306203000072856,0.9306132000056095,0.9640058999939356,0.9640058999939356,0.9969708000135142,2.49746040001628,2.5144862000015564,2.997919899993576,5.965672299993457,1855.5888010890933,1415.0013296729078,space,3.447056100005284,-0.18472222222222223,-0.0763888888888889,2.5309547999931965,186432,001,2023-02-21_17h43.31.494,expectation_shapes_perceived_time,2022.2.4,59.90115112782661,
,,,,4,0,4,0,0.0018817000091075897,0.49887360000866465,0.49887360000866465,0.531865500001004,1.1988749000011012,1.2321796000178438,1.3655992000130937,1.398876300023403,2.4986699000000954,2.5154393000120763,2.9989683000021614,5.450019800016889,1995.453025212841,1298.3014326440757,space,2.9269058000063524,-0.08194444444444444,0.16805555555555557,,186432,001,2023-02-21_17h43.31.494,expectation_shapes_perceived_time,2022.2.4,59.90115112782661,
,,,,,,,,,,,,,,,,,,,,,,,,-0.002777777777777778,0.19444444444444445,,,,,,,,
