id,delay,expectation,congruency,trial_num,stim_color,distractor_color,block,famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,fixationPoint.started,fixationPoint.stopped,audCueStart.started,audCueStart.stopped,target.started,distractor.started,target.stopped,distractor.stopped,audCueEnd.started,sapce2pass_2.started,audCueEnd.stopped,responsePointer.started,responsePointer.stopped,perceivedTime,pTemporalError,sapce2pass_2.keys,sapce2pass_2.rt,x_coord,y_coord,participant,session,date,expName,psychopyVersion,frameRate,
1,33,0.15,unmet,215,red,green,high_Expectation,,,,,0,0,0,214,0.022037699993234128,0.49908169999253005,0.49908169999253005,0.5327078999835066,0.8159314999938942,0.8494643999729306,0.8494643999729306,0.8828421999933198,2.499799899989739,2.5163530000136234,2.533184200001415,3.0004142000107095,4.017573099990841,1110.53160622876,799.6177828802357,space,1.4915713999653235,,,880683,001,2023-02-23_16h51.01.657,expectation_shapes_perceived_time,2022.2.4,60.095539889215395,
1,167,0.85,met,295,green,red,high_Expectation,,,,,0,1,1,294,0.0013688000035472214,0.4980818000040017,0.4980818000040017,0.5313857000437565,1.6986161000095308,1.865322700003162,1.7319411000353284,1.8986648000427522,2.4988972000428475,2.5153559000464156,,2.9992008000263013,4.466239700035658,1771.0838422294405,581.2720866737066,space,1.944882999989204,-0.3581687456768816,-0.9896628822363625,880683,001,2023-02-23_16h51.01.657,expectation_shapes_perceived_time,2022.2.4,60.095539889215395,
,,,,,,,,,,,,,,,,0.0020136000239290297,0.4980735999997705,0.4980735999997705,,1.0649429999757558,1.2316600999911316,1.098470599972643,1.2651978000067174,2.4989258000277914,2.5156273000175133,,2.9992667000042275,,,,,,-0.24079132306358186,0.2750061730783604,,,,,,,
