famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialCycle.thisRepN,trialCycle.thisTrialN,trialCycle.thisN,trialCycle.thisIndex,audioCue2Start.started,handMove.started,handOri,handMove.ended,audioCue2End.started,text.started,space2pass.keys,space2pass.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,15.430964290002157,15.464279090001218,270.0000000000002,17.481570090001334,17.481570090001334,,,,653974,001,2023-01-10_17h59.33.828,expectation_shapes_perceived_time,2022.2.4,60.057607256806286,
,,,,0,0,0,0,,,,,,18.065230399999564,space,1.6765836999984458,653974,001,2023-01-10_17h59.33.828,expectation_shapes_perceived_time,2022.2.4,60.057607256806286,
,,,,,,,,,,,,,19.765617200002453,,,,,,,,,
