famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,audioCue2Start.started,handMove.started,handOri,handMove.ended,audioCue2End.started,fixationPoint.started,audCueStart.started,fixationPoint.stopped,audCueStart.stopped,target.started,distractor.started,target.stopped,distractor.stopped,sapce2pass_2.started,audCueEnd.started,audCueEnd.stopped,responsePointer.started,responsePointer.stopped,sapce2pass_2.keys,sapce2pass_2.rt,x_coord,y_coord,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,11.310487710000597,11.34363250999304,270.0000000000002,13.361289410010794,13.361289410010794,,,,,,,,,,,,,,,,,,579718,001,2023-02-21_17h13.44.944,expectation_shapes_perceived_time,2022.2.4,60.2584242748992,
,,,,0,0,0,0,,,,,,0.0024738000065553933,0.4990142000024207,0.4990142000024207,0.532485200004885,2.0162331000028644,2.049299400008749,2.049299400008749,2.083183900016593,2.499873100023251,2.5164174000092316,2.550081199995475,3.0167719000019133,17.905913900001906,space,15.394722800003365,,,579718,001,2023-02-21_17h13.44.944,expectation_shapes_perceived_time,2022.2.4,60.2584242748992,
,,,,1,0,1,0,,,,,,0.002611500007333234,0.49734080000780523,0.49734080000780523,0.5307570000004489,1.9149049000116065,2.015086900006281,1.9483340000151657,2.048210700013442,2.515120600000955,2.515120600000955,2.548228500003461,3.0148384000058286,4.548652299999958,space,2.0285329000034835,0.08841809835527314,0.18737841884481132,579718,001,2023-02-21_17h13.44.944,expectation_shapes_perceived_time,2022.2.4,60.2584242748992,
,,,,2,0,2,0,,,,,,0.0019299999985378236,0.4990381000097841,0.4990381000097841,0.532278500002576,0.7327403000090271,0.8324505000200588,0.7657398000010289,0.8659816000144929,2.5004407000087667,2.5170156999956816,,3.016651100013405,4.251061600021785,space,1.7436048999952618,0.9027236254116566,-0.7461207577574558,579718,001,2023-02-21_17h13.44.944,expectation_shapes_perceived_time,2022.2.4,60.2584242748992,
,,,,,,,,,,,,,0.0033303000091109425,0.4978191999834962,0.4978191999834962,0.5309964999905787,1.9809848000004422,2.2812214999867138,2.014353200007463,2.314812399999937,2.514705599984154,2.514705599984154,,3.014955499995267,,,,0.21265399015389708,-0.5371106016096467,,,,,,,
