famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,audioCue2Start.started,handMove.started,handOri,handMove.ended,audioCue2End.started,fixationPoint.started,audCueStart.started,fixationPoint.stopped,audCueStart.stopped,target.started,target.stopped,distractor.started,distractor.stopped,audCueEnd.started,sapce2pass_2.started,audCueEnd.stopped,responsePointer.started,responsePointer.stopped,sapce2pass_2.keys,sapce2pass_2.rt,x_coord,y_coord,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,19.996928029999253,20.03024123002251,269.9999999999998,22.01433613001427,22.01433613001427,,,,,,,,,,,,,,,,,,657478,001,2023-02-21_17h08.27.688,expectation_shapes_perceived_time,2022.2.4,59.734123422688555,
,,,,0,0,0,0,,,,,,0.0024080000002868474,0.49931690000812523,0.49931690000812523,0.5326115000061691,0.7992821999941953,0.8324876999831758,1.0326682000013534,1.0658537999843247,2.4831248999980744,2.4998827000090387,2.516823799989652,2.9830713999981526,9.536078899982385,space,7.036129699990852,,,657478,001,2023-02-21_17h08.27.688,expectation_shapes_perceived_time,2022.2.4,59.734123422688555,
,,,,1,0,1,0,,,,,,0.002054300013696775,0.49809030001051724,0.49809030001051724,0.5313849000085611,1.3153179000073578,1.3480939000146464,1.5488014000002295,1.5822505000105593,2.4854678999981843,2.5015774999919813,2.5183941000141203,2.9824589999916498,3.966026900016004,space,1.4497261999931652,0.9968177882477542,-0.6956026484155684,657478,001,2023-02-21_17h08.27.688,expectation_shapes_perceived_time,2022.2.4,59.734123422688555,
,,,,,,,,,,,,,0.0018595000146888196,0.4984637000015937,0.4984637000015937,0.5319888000085484,0.8489170000248123,0.882440300018061,1.1491521999996621,1.182560100016417,2.48247800001991,2.499174900003709,2.516287500009639,2.983212100021774,,,,0.47864220952355296,0.9136186905323129,,,,,,,
