famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,040378,001,2023-01-02_23h31.54.426,expectation_shapes_perceived_time,2022.2.4,60.23595628773341,
1,0,1,0,040378,001,2023-01-02_23h31.54.426,expectation_shapes_perceived_time,2022.2.4,60.23595628773341,
2,0,2,0,040378,001,2023-01-02_23h31.54.426,expectation_shapes_perceived_time,2022.2.4,60.23595628773341,
