famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,fixationPoint.started,audCueStart.started,fixationPoint.stopped,audCueStart.stopped,target.started,target.stopped,distractor.started,distractor.stopped,audCueEnd.started,sapce2pass_2.started,audCueEnd.stopped,responsePointer.started,sapce2pass_2.keys,sapce2pass_2.rt,x_coord,y_coord,participant,session,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0.0022066999990784097,0.49935439999899245,0.49935439999899245,0.5329855999989377,0.9670898000003945,0.9995894999992743,1.2664282000005187,1.2992811999974947,2.5000357999997505,2.5000357999997505,2.5337846000002173,14.247312000003149,space,1.835926699997799,,,976456,001,2023-02-19_16h21.06.991,expectation_shapes_perceived_time,2022.2.4,59.82428411233004,
,,,,1,0,1,0,0.0028316999996604864,0.4971735999970406,0.4971735999970406,0.5305227999997442,1.3138564999972004,1.347490399999515,1.416890999997122,1.4481922999984818,2.4984669999976177,2.5151552999996056,2.531710100000055,18.59871810000186,space,1.7913829999997688,-0.18359375,0.0013020833333333333,976456,001,2023-02-19_16h21.06.991,expectation_shapes_perceived_time,2022.2.4,59.82428411233004,
,,,,2,0,2,0,0.0014145999994070735,0.4995264999997744,0.4995264999997744,0.5327548999994178,1.8332375999998476,1.8665908000002673,1.9999171000017668,2.0334871000013663,2.500039700000343,2.500039700000343,2.533455299999332,22.917209000002913,space,2.5993803999990632,0.014322916666666666,0.1796875,976456,001,2023-02-19_16h21.06.991,expectation_shapes_perceived_time,2022.2.4,59.82428411233004,
,,,,3,0,3,0,0.0042195999994874,0.49536129999978584,0.49536129999978584,0.5289282999983698,2.0123104999984207,2.046272100000351,2.1794852999992145,2.212754000000132,2.496256700000231,2.5131194999994477,2.529515199999878,28.019130399999995,space,1.6071383000016795,0.17708333333333334,-0.00390625,976456,001,2023-02-19_16h21.06.991,expectation_shapes_perceived_time,2022.2.4,59.82428411233004,
,,,,,,,,0.0019758999987971038,0.49840139999651,0.49840139999651,0.5314427999983309,0.6480180999969889,0.6813662999993539,0.6813662999993539,0.7143598999973619,2.498569999999745,2.515643499998987,2.532087199997477,32.15416550000009,,,-0.005208333333333333,0.0,,,,,,,
