famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,audioCue2Start.started,handMove.started,handOri,handMove.ended,audioCue2End.started,s1.started,s1.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,10.316859780000232,10.35023208000057,269.9999999999998,12.334780080000929,12.334780080000929,,,362969,001,2023-01-10_17h05.16.638,expectation_shapes_perceived_time,2022.2.4,59.74864938154956,
1,0,1,0,,,,,13.602033880001546,13.635131679999905,269.9999999999998,15.619104580001295,15.619104580001295,,,362969,001,2023-01-10_17h05.16.638,expectation_shapes_perceived_time,2022.2.4,59.74864938154956,
,,,,0,0,0,0,,,,,,19.25400029999946,19.28704210000069,362969,001,2023-01-10_17h05.16.638,expectation_shapes_perceived_time,2022.2.4,59.909835697700125,
,,,,1,0,1,0,,,,,,25.972959300001094,26.006511100000353,362969,001,2023-01-10_17h05.16.638,expectation_shapes_perceived_time,2022.2.4,59.924985902192546,
,,,,2,0,2,0,,,,,,30.891768199999206,30.925118700000894,362969,001,2023-01-10_17h05.16.638,expectation_shapes_perceived_time,2022.2.4,59.89480077143619,
,,,,3,0,3,0,,,,,,37.410749900001974,37.4441235000013,362969,001,2023-01-10_17h05.16.638,expectation_shapes_perceived_time,2022.2.4,59.8608474745013,
,,,,4,0,4,0,,,,,,49.41470280000067,49.448940199999925,362969,001,2023-01-10_17h05.16.638,expectation_shapes_perceived_time,2022.2.4,59.98494377881538,
