id,delay,expectation,congruency,trial_num,stim_color,distractor_color,block,famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,fixationPoint.started,audCueStart.started,fixationPoint.stopped,audCueStart.stopped,distractor.started,distractor.stopped,target.started,target.stopped,sapce2pass_2.started,audCueEnd.started,audCueEnd.stopped,responsePointer.started,responsePointer.stopped,perceivedTime,pTemporalError,sapce2pass_2.keys,sapce2pass_2.rt,x_coord,y_coord,participant,session,date,expName,psychopyVersion,frameRate,
1,-33,0.85,met,144,green,red,high_Expectation,,,,,0,0,0,143,0.023359999991953373,0.5162109999801032,0.5162109999801032,0.5494670999469236,1.3342967999633402,1.3677713999641128,1.3677713999641128,1.401065899990499,2.4999671999830753,2.516680699947756,2.550085199996829,3.017238100001123,5.134822799998801,1609.7748374178511,758.9307777135891,space,2.6271867000032216,,,697942,001,2023-02-22_13h12.16.271,expectation_shapes_perceived_time,2022.2.4,59.927607450110514,
1,300,0.85,met,151,green,red,high_Expectation,,,,,0,1,1,150,0.0021291000302881002,0.49783050001133233,0.49783050001133233,,1.448406299983617,1.482101200032048,1.1481178000103682,1.1818778000306338,2.4993420999962837,2.4993420999962837,2.532668600033503,2.999218499986455,4.999494299991056,804.8768682769753,146.8085014774332,space,2.4892406000290066,-0.14305555555555555,0.05138888888888889,697942,001,2023-02-22_13h12.16.271,expectation_shapes_perceived_time,2022.2.4,59.927607450110514,
1,33,0.15,unmet,4,red,green,high_Expectation,,,,,0,2,2,3,0.00225789996329695,0.49916189996292815,0.49916189996292815,0.5320405999664217,1.0657350999535993,1.0994140999973752,1.0327455999795347,1.0657350999535993,2.499892499996349,2.499892499996349,2.5331623000092804,3.000004199973773,4.300192599999718,20.447900961280293,-508.4221620763574,space,1.7891125999740325,0.11527777777777778,-0.1638888888888889,697942,001,2023-02-22_13h12.16.271,expectation_shapes_perceived_time,2022.2.4,59.927607450110514,
1,-33,0.85,met,258,green,red,high_Expectation,,,,,0,3,3,257,0.0019923000363633037,0.49781159998383373,0.49781159998383373,0.5315684000379406,1.1317809000029229,1.1650018999935128,1.1650018999935128,1.1984408000134863,2.5155826000263914,2.498908500012476,2.5325737000093795,2.998676399991382,3.7989938000100665,1332.2333226857434,670.1375665041244,space,1.2775836999644525,0.015277777777777777,0.2375,697942,001,2023-02-22_13h12.16.271,expectation_shapes_perceived_time,2022.2.4,59.927607450110514,
1,300,0.85,met,32,green,red,high_Expectation,,,,,0,4,4,31,0.0021216999739408493,0.5002706999657676,0.5002706999657676,0.5346697999630123,1.398819199996069,1.4325023999554105,1.0989716000040062,1.1324645999702625,2.4997405000030994,2.5167649000068195,2.549949200008996,3.0169765999889933,3.983664300001692,611.0172584549999,22.56776518393815,space,1.4688142000231892,-0.16944444444444445,-0.09861111111111111,697942,001,2023-02-22_13h12.16.271,expectation_shapes_perceived_time,2022.2.4,59.927607450110514,
1,167,0.15,unmet,123,red,green,high_Expectation,,,,,0,5,5,122,0.0028212000033818185,0.4987049999763258,0.4987049999763258,,1.3153928999672644,1.348527299996931,1.1484112999751233,1.1818322999752127,2.499274100002367,2.499274100002367,,2.9995426000095904,4.0002152000088245,980.0379750149941,322.18499790575004,space,1.493144600011874,0.16805555555555557,-0.06111111111111111,697942,001,2023-02-22_13h12.16.271,expectation_shapes_perceived_time,2022.2.4,59.927607450110514,
,,,,,,,,,,,,,,,,0.0021266999538056552,0.49830589996417984,0.49830589996417984,0.5318891999777406,2.1159697999828495,2.1493820999749005,1.8818089999840595,1.9152237999951467,2.499034499982372,2.499034499982372,2.532133199973032,3.000059899990447,,,,,,0.030442439068491867,-0.48479163160747785,,,,,,,
