id,delay,expectation,congruency,trial_num,stim_color,distractor_color,block,famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,fixationPoint.started,fixationPoint.stopped,audCueStart.started,distractor.started,distractor.stopped,target.started,target.stopped,sapce2pass_2.started,audCueEnd.started,audCueEnd.stopped,responsePointer.started,responsePointer.stopped,perceivedTime,pTemporalError,sapce2pass_2.keys,x_coord,y_coord,participant,session,date,expName,psychopyVersion,frameRate,
1,-300,0.85,met,20,green,red,high_Expectation,,,,,0,18,18,19,0.0011484000133350492,,,,,,,,,,,,,,None,0.19305555555555556,0.008333333333333333,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
1,-233,0.85,met,107,green,red,high_Expectation,,,,,0,19,19,106,0.0011085000005550683,,,,,,,,,,,,,,None,0.19305555555555556,0.008333333333333333,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
1,100,0.85,met,278,green,red,high_Expectation,,,,,0,20,20,277,0.001184699998702854,,,,,,,,,,,,,,None,0.19305555555555556,0.008333333333333333,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
1,167,0.15,unmet,76,red,green,high_Expectation,,,,,0,21,21,75,0.001171400013845414,,,,,,,,,,,,,,None,0.19305555555555556,0.008333333333333333,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
1,-233,0.85,met,13,green,red,high_Expectation,,,,,0,22,22,12,0.0011295999865978956,,,,,,,,,,,,,,None,0.19305555555555556,0.008333333333333333,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
1,33,0.85,met,69,green,red,high_Expectation,,,,,0,23,23,68,0.0011081999982707202,,,,,,,,,,,,,,None,0.19305555555555556,0.008333333333333333,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
1,-167,0.85,met,142,green,red,high_Expectation,,,,,0,24,24,141,0.0015219000051729381,,,,,,,,,,,,,,None,0.19305555555555556,0.008333333333333333,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
1,100,0.85,met,240,green,red,high_Expectation,,,,,0,25,25,239,0.0011329000117257237,,,,,,,,,,,,,,None,0.19305555555555556,0.008333333333333333,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
1,167,0.85,met,102,green,red,high_Expectation,,,,,0,26,26,101,0.001101000001654029,,,,,,,,,,,,,,None,0.19305555555555556,0.008333333333333333,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
1,-167,0.85,met,87,green,red,high_Expectation,,,,,0,27,27,86,0.0010878999601118267,,,,,,,,,,,,,,None,0.19305555555555556,0.008333333333333333,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
1,100,0.85,met,68,green,red,high_Expectation,,,,,0,28,28,67,0.0012899000430479646,,,,,,,,,,,,,,None,0.19305555555555556,0.008333333333333333,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
1,300,0.85,met,51,green,red,high_Expectation,,,,,0,29,29,50,0.0010893000289797783,,,,,,,,,,,,,,None,0.19305555555555556,0.008333333333333333,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
1,-233,0.15,unmet,256,red,green,high_Expectation,,,,,0,30,30,255,0.0011208999785594642,,,,,,,,,,,,,,None,0.19305555555555556,0.008333333333333333,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
1,167,0.85,met,127,green,red,high_Expectation,,,,,0,31,31,126,0.0012623000075109303,,,,,,,,,,,,,,None,0.19305555555555556,0.008333333333333333,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
1,300,0.85,met,180,green,red,high_Expectation,,,,,0,32,32,179,0.001128199975937605,,,,,,,,,,,,,,None,0.19305555555555556,0.008333333333333333,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
1,-100,0.85,met,271,green,red,high_Expectation,,,,,0,33,33,270,0.0010822000331245363,,,,,,,,,,,,,,None,0.19305555555555556,0.008333333333333333,865254,001,2023-02-23_22h29.57.389,expectation_shapes_perceived_time,2022.2.4,60.23435985073935,
