famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,audioCue2Start.started,handMove.started,handOri,handMove.ended,audioCue2End.started,fixationPoint.started,audCueStart.started,fixationPoint.stopped,target.started,target.stopped,distractor.started,distractor.stopped,sapce2pass_2.started,audCueEnd.started,audCueEnd.stopped,responsePointer.started,responsePointer.stopped,sapce2pass_2.keys,sapce2pass_2.rt,x_coord,y_coord,audCueStart.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,46.4108368300047,46.44449523000803,270.0000000000002,48.478719430012276,48.478719430012276,,,,,,,,,,,,,,,,,,370569,001,2023-02-21_13h58.50.632,expectation_shapes_perceived_time,2022.2.4,60.262963466782764,
1,0,1,0,,,,,49.39556562999205,49.42947713000176,270.0000000000002,51.54434843000199,51.54434843000199,,,,,,,,,,,,,,,,,,370569,001,2023-02-21_13h58.50.632,expectation_shapes_perceived_time,2022.2.4,60.262963466782764,
2,0,2,0,,,,,65.55263123000331,65.58589303001354,270.0000000000002,67.86930603001092,67.86930603001092,,,,,,,,,,,,,,,,,,370569,001,2023-02-21_13h58.50.632,expectation_shapes_perceived_time,2022.2.4,60.262963466782764,
,,,,0,0,0,0,,,,,,0.008853400009684265,0.5139952000172343,0.5139952000172343,1.6308257000055164,1.6808676999935415,1.88139730002149,1.9136325000145007,2.513954800000647,2.547752800019225,2.5812429999932647,3.097933600016404,3.5646690000139643,space,1.0446144999878015,,,,370569,001,2023-02-21_13h58.50.632,expectation_shapes_perceived_time,2022.2.4,60.262963466782764,
,,,,1,0,1,0,,,,,,0.010567699995590374,0.5424269000068307,0.5424269000068307,1.3931035000132397,1.4264766999986023,1.6950431000150274,1.7270649000129197,2.5091906000161543,2.5919370999909006,2.6255980000132695,3.0922038000135217,5.494525100017199,space,2.985626699985005,0,0,,370569,001,2023-02-21_13h58.50.632,expectation_shapes_perceived_time,2022.2.4,60.262963466782764,
,,,,2,0,2,0,,,,,,0.008463500009384006,0.5746197999978904,0.5746197999978904,1.6084626000083517,1.6737783999997191,1.8068252000084613,1.8400927000038791,2.5100029000022914,2.72708790001343,2.7597835999913514,3.2276184000074863,4.659660400007851,space,2.127706400002353,0,0,0.6073522999940906,370569,001,2023-02-21_13h58.50.632,expectation_shapes_perceived_time,2022.2.4,60.262963466782764,
,,,,3,0,3,0,,,,,,0.008500199997797608,0.5268328000092879,0.5268328000092879,1.2670563000137918,1.3114390000118874,1.444808300002478,1.4786409999942407,2.5084378000174183,2.6776481000124477,2.7111137000028975,3.1781998999940697,9.780334300012328,space,7.27241220002179,0,0,,370569,001,2023-02-21_13h58.50.632,expectation_shapes_perceived_time,2022.2.4,60.262963466782764,
,,,,,,,,,,,,,0.007561600010376424,0.5267675000068266,0.5267675000068266,0.7434665000182576,0.7766516999981832,0.9099417999968864,0.9432663000188768,2.5107163000211585,2.6443069000088144,,3.2606297000020277,,,,0,0,,,,,,,,
