famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,audioCue2Start.started,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0.0020675000014307443,084731,001,2023-01-02_21h51.56.117,expectation_shapes_perceived_time,2022.2.4,60.245246349367726,
,,,,0.001207000001159031,,,,,,,
