id,delay,expectation,congruency,trial_num,stim_color,distractor_color,block,famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,fixationPoint.started,audCueStart.started,audCueStart.stopped,fixationPoint.stopped,distractor.started,distractor.stopped,target.started,target.stopped,sapce2pass_2.started,audCueEnd.started,audCueEnd.stopped,responsePointer.started,responsePointer.stopped,perceivedTime,pTemporalError,sapce2pass_2.keys,sapce2pass_2.rt,x_coord,y_coord,participant,session,date,expName,psychopyVersion,frameRate,
1,-33,0.85,met,184,green,red,high_Expectation,,,,,0,0,0,183,0.028700899973046035,0.4980109999887645,0.5308485999703407,0.5813519000075758,2.2649248000234365,2.3288226000149734,2.3288226000149734,2.3978957000072114,2.516139800020028,2.932442999968771,2.9651979000191204,3.4663477999856696,4.350055999995675,1416.3212127878562,-126.74010142995917,space,1.8280538999824785,,,376859,001,2023-02-23_15h21.52.244,expectation_shapes_perceived_time,2022.2.4,61.03578954137047,
1,-33,0.85,met,85,green,red,high_Expectation,,,,,0,1,1,84,0.0030716999899595976,0.4974272000254132,0.5311462000245228,0.5141621999791823,1.864910600008443,1.8980350000201724,1.8980350000201724,1.9316509999916889,2.515407699975185,2.5654446000116877,2.598790700023528,3.0983562999754213,4.1857553999871016,272.1677836434862,-1069.1687712378477,space,1.6691703000105917,-0.8458878942190977,-0.22763919699829982,376859,001,2023-02-23_15h21.52.244,expectation_shapes_perceived_time,2022.2.4,61.03578954137047,
1,33,0.85,met,194,green,red,high_Expectation,,,,,0,2,2,193,0.005843600025400519,0.4900381999905221,,0.5232563000172377,1.8573867999948561,1.891229500004556,1.8239625000278465,1.8573867999948561,2.5076149000087753,2.5746158999972977,2.6079797000274993,3.1075572000117972,4.091418900003191,347.2352172770305,-921.0749259862032,space,1.5732278999639675,0.7499090184736077,0.652111165204478,376859,001,2023-02-23_15h21.52.244,expectation_shapes_perceived_time,2022.2.4,61.03578954137047,
,,,,,,,,,,,,,,,,0.002259400032926351,0.4981895000091754,0.5318403000128455,0.5156107000075281,1.649258400022518,1.682678000011947,1.9489004000206478,1.9824746000231244,2.49913180002477,2.5660824999795295,2.599068299983628,3.099834799999371,,,,,,0.7650098344727039,0.39819921889451004,,,,,,,
