famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,audioCue2Start.started,audioCue2End.started,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0.0020172999993519625,2.000306300000375,695675,001,2023-01-02_17h06.47.375,expectation_shapes_perceived_time,2022.2.4,59.597739099891506,
1,0,1,0,0.0013084000001981622,2.000062600000092,695675,001,2023-01-02_17h06.47.375,expectation_shapes_perceived_time,2022.2.4,59.597739099891506,
,,,,0.001242899999851943,1.9994714000004024,,,,,,,
