famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,orientation,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,270.0,548460,001,2023-01-04_01h04.43.008,expectation_shapes_perceived_time,2022.2.4,59.918343281684876,
,,,,270.0,,,,,,,
