id,delay,expectation,congruency,trial_num,stim_color,distractor_color,block,famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,fixationPoint.started,audCueStart.started,fixationPoint.stopped,audCueStart.stopped,target.started,target.stopped,distractor.started,distractor.stopped,sapce2pass_2.started,audCueEnd.started,audCueEnd.stopped,responsePointer.started,responsePointer.stopped,perceivedTime,pTemporalError,sapce2pass_2.keys,sapce2pass_2.rt,x_coord,y_coord,participant,session,date,expName,psychopyVersion,frameRate,
1,167,0.15,unmet,198,red,green,high_Expectation,,,,,0,0,0,197,0.020493099989835173,0.5157270000199787,0.5157270000199787,0.5493977000005543,0.9163063000305556,0.9500102000311017,1.083007799985353,1.116209700005129,2.499689300020691,2.516488900000695,2.5498061000253074,3.0174545000190847,5.951666500011925,546.8164945637815,145.6301227189594,space,3.4443967000115663,,,392486,001,2023-02-23_15h34.23.853,expectation_shapes_perceived_time,2022.2.4,60.08730685712799,
1,233,0.85,met,103,green,red,high_Expectation,,,,,0,1,1,102,0.0024801999679766595,0.4985350999631919,0.4985350999631919,0.5320475999615155,1.8501968999626115,1.8834081999957561,2.0822354999836534,2.1152744999853894,2.499307499965653,2.499307499965653,2.5321782999671996,2.999350099998992,4.699803499970585,546.8164945637815,-807.9856967413001,space,2.1980586999561638,0.225,-0.03333333333333333,392486,001,2023-02-23_15h34.23.853,expectation_shapes_perceived_time,2022.2.4,60.08730685712799,
1,33,0.85,met,194,green,red,high_Expectation,,,,,0,2,2,193,0.003385300049558282,0.4984443000284955,0.4984443000284955,0.5320318000158295,1.8318677000352181,1.86518540000543,1.86518540000543,1.8985642000334337,2.500140900025144,2.500140900025144,2.53299210005207,2.9993490000488237,3.615986500051804,238.2378999973621,-1093.5024629639543,space,1.1062048000167124,0.225,-0.03333333333333333,392486,001,2023-02-23_15h34.23.853,expectation_shapes_perceived_time,2022.2.4,60.08730685712799,
1,233,0.85,met,217,green,red,high_Expectation,,,,,0,3,3,216,0.002515600004699081,0.49832140002399683,0.49832140002399683,0.532290400005877,0.6986026000231504,0.7321304000215605,0.9325835999916308,0.9654387999908067,2.4996363000245765,2.4996363000245765,2.532827900024131,2.999366000003647,3.7001733999932185,226.26673927593217,31.462736508620253,space,1.194599999987986,0.7318301830562799,0.7880167263327325,392486,001,2023-02-23_15h34.23.853,expectation_shapes_perceived_time,2022.2.4,60.08730685712799,
1,33,0.85,met,226,green,red,high_Expectation,,,,,0,4,4,225,0.004540099995210767,0.4972511000232771,0.4972511000232771,0.530692900007125,2.0148088000132702,2.0477527999901213,2.0477527999901213,2.081913699978031,2.5148388000088744,2.4982684000278823,2.5315875000087544,2.9982328999903984,3.6322546000010334,1834.9284562997736,322.95854305473495,space,1.111700400011614,0.5745162450138508,0.667276567807956,392486,001,2023-02-23_15h34.23.853,expectation_shapes_perceived_time,2022.2.4,60.08730685712799,
1,233,0.85,met,21,green,red,high_Expectation,,,,,0,5,5,20,0.0028244000277481973,0.498428100021556,0.498428100021556,0.5318129000370391,1.5817932999925688,1.6153469000128098,1.8151245000190102,1.8490175000042655,2.4993769000284374,2.4993769000284374,2.5327324999962,2.999532200046815,4.650630399992224,1960.063682540352,885.6996220529693,space,2.1382498999591917,-0.5124605523381236,0.8979699652826547,392486,001,2023-02-23_15h34.23.853,expectation_shapes_perceived_time,2022.2.4,60.08730685712799,
1,-167,0.85,met,299,green,red,high_Expectation,,,,,0,6,6,298,0.0028445000061765313,0.49791080004069954,0.49791080004069954,0.5312642000499181,1.3505769000039436,1.3839669000008143,1.1863617000053637,1.214891500014346,2.5153358000097796,2.498665000020992,2.532258899998851,2.9991722000413574,3.5485588000155985,1960.063682540352,1104.1531630308334,space,1.023764800047502,-0.019444444444444445,0.15416666666666667,392486,001,2023-02-23_15h34.23.853,expectation_shapes_perceived_time,2022.2.4,60.08730685712799,
1,-300,0.85,met,252,green,red,high_Expectation,,,,,0,7,7,251,0.0027403999702073634,0.49910399998771027,0.49910399998771027,0.5323104999843054,1.1163985999883153,1.1493525999831036,0.8162070999969728,0.8488012999878265,2.4993514000088908,2.4993514000088908,2.5328417000127956,3.001058599969838,3.483729299972765,442.2483114869433,-166.75228360406368,space,0.9705199999734759,-0.019444444444444445,0.15416666666666667,392486,001,2023-02-23_15h34.23.853,expectation_shapes_perceived_time,2022.2.4,60.08730685712799,
1,-33,0.85,met,19,green,red,high_Expectation,,,,,0,8,8,18,0.0038707000203430653,0.49826999998185784,0.49826999998185784,0.5312208000104874,1.715151300013531,1.7479073000140488,1.681294500012882,1.715151300013531,2.515359000011813,2.4987736999755725,2.532210599980317,2.9984815000207163,3.5327772999880835,1059.878445353076,-162.31025583372457,space,1.0169475000002421,0.6568018518030323,0.12049005219512687,392486,001,2023-02-23_15h34.23.853,expectation_shapes_perceived_time,2022.2.4,60.08730685712799,
,,,,,,,,,,,,,,,,0.00394839997170493,0.4971484999987297,0.4971484999987297,0.5304807999636978,0.9489517000038177,0.982421999971848,0.9158402999746613,0.9489517000038177,2.5152709999820217,2.4985803000163287,2.5318464000010863,2.9984105000039563,,,,,,-0.18639105156982394,-0.9791273641596878,,,,,,,
