famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,fixationPoint.started,audCueStart.started,fixationPoint.stopped,target.started,target.stopped,distractor.started,distractor.stopped,sapce2pass_2.started,audCueEnd.started,responsePointer.started,responsePointer.stopped,sapce2pass_2.keys,sapce2pass_2.rt,x_coord,y_coord,audCueStart.stopped,audCueEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0.011222399974940345,0.5467853999871295,0.5467853999871295,1.7651878999895416,1.797943799989298,1.8653156999789644,1.8978980999963824,2.515422500000568,2.548110199975781,3.048306499986211,6.568910599977244,space,4.053951399982907,,,,,173566,001,2023-02-21_14h18.22.019,expectation_shapes_perceived_time,2022.2.4,59.49020464030471,
,,,,1,0,1,0,0.0075647999765351415,0.5069797999749426,0.5069797999749426,1.8381513999775052,1.8716677999764215,1.9394329999922775,1.9716420999902766,2.5072505999996793,2.5573523999773897,3.056846099992981,4.791173299978254,space,2.2817703000037,-0.7117210958781011,0.18696172860242255,0.5405962999793701,2.589393399975961,173566,001,2023-02-21_14h18.22.019,expectation_shapes_perceived_time,2022.2.4,59.49020464030471,
,,,,2,0,2,0,0.007635599991772324,0.5115518000093289,0.5115518000093289,1.9289059999864548,1.9619109999912325,1.9619109999912325,1.9949111999885645,2.5132731999910902,2.5290782999945804,3.095709799992619,4.163172400003532,space,1.6485430999891832,-0.18192151942366297,0.5715773005181468,0.5443127999897115,2.5623754000116605,173566,001,2023-02-21_14h18.22.019,expectation_shapes_perceived_time,2022.2.4,59.49020464030471,
,,,,3,0,3,0,0.008681199979037046,0.5583452999999281,0.5583452999999281,1.6915390999929514,1.7251995999831706,1.7251995999831706,1.759212299977662,2.5097391000017524,2.559072299976833,3.1091775999811944,3.761477299995022,space,1.2515236999897752,-0.9410787691523763,0.31569647667596135,0.5910009999934118,,173566,001,2023-02-21_14h18.22.019,expectation_shapes_perceived_time,2022.2.4,59.49020464030471,
,,,,,,,,0.01023349998285994,0.5909529999771621,0.5909529999771621,1.2224635999882594,1.255933999986155,1.255933999986155,1.2890484999807086,,,,,,,0.9296656519146353,0.10682520664378314,0.624109700002009,,,,,,,,
