famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,audioCue2Start.started,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0.0016400999993493315,769343,001,2023-01-02_17h11.55.440,expectation_shapes_perceived_time,2022.2.4,59.98994568558407,
1,0,1,0,0.0008911000004445668,769343,001,2023-01-02_17h11.55.440,expectation_shapes_perceived_time,2022.2.4,59.98994568558407,
,,,,0.0009265999997296603,,,,,,,
