famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,audioCue2Start.started,handMove.started,handOri,handMove.ended,audioCue2End.started,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,10.24401799000061,10.27725678999941,270.0,12.277877689999695,12.277877689999695,456199,001,2023-01-10_14h06.17.047,expectation_shapes_perceived_time,2022.2.4,60.22909944816682,
1,0,1,0,13.161600690000522,13.195292290000179,270.0,15.195781990000068,15.195781990000068,456199,001,2023-01-10_14h06.17.047,expectation_shapes_perceived_time,2022.2.4,60.22909944816682,
2,0,2,0,16.063174290000642,16.096275989999594,270.0,18.09682378999987,18.09682378999987,456199,001,2023-01-10_14h06.17.047,expectation_shapes_perceived_time,2022.2.4,60.22909944816682,
