famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,fixationPoint.started,audCueStart.started,fixationPoint.stopped,audCueStart.stopped,target.started,target.stopped,distractor.started,distractor.stopped,sapce2pass_2.started,audCueEnd.started,audCueEnd.stopped,responsePointer.started,responsePointer.stopped,sapce2pass_2.keys,sapce2pass_2.rt,x_coord,y_coord,participant,session,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0.004051399999298155,0.5495852000021841,0.5495852000021841,0.5822574000048917,1.2653453999955673,1.298930000004475,1.435283500002697,1.48324689999572,2.503080800001044,2.636490799995954,2.669106900008046,3.1382853999966756,94.86867510000593,space,92.36100050000823,,,522667,001,2023-02-20_17h24.29.289,expectation_shapes_perceived_time,2022.2.4,60.32669317217131,
,,,,1,0,1,0,0.002932499992311932,0.4963805000006687,0.4963805000006687,0.5295595999923535,0.9468461999931606,0.9799722000025213,0.9799722000025213,1.0131927000038559,2.5010690999915823,2.7488142999936827,,3.2813418000005186,14.787339200003771,space,12.272700800007442,0,0,522667,001,2023-02-20_17h24.29.289,expectation_shapes_perceived_time,2022.2.4,60.32669317217131,
,,,,,,,,0.0034893999982159585,0.49446259999240283,0.49446259999240283,0.5278825999994297,1.494834199998877,1.5280990999890491,1.5948671999940416,1.62825690000318,,,,,,,,0,0,,,,,,,
