famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,fixationPoint.started,audCueStart.started,fixationPoint.stopped,audCueStart.stopped,target.started,target.stopped,distractor.started,distractor.stopped,audCueEnd.started,sapce2pass_2.started,audCueEnd.stopped,responsePointer.started,responsePointer.stopped,sapce2pass_2.keys,sapce2pass_2.rt,x_coord,y_coord,participant,session,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0.002175999994506128,0.4997164999949746,0.4997164999949746,0.532906099993852,1.5665046999929473,1.6000238999986323,1.666514600001392,1.6995766999898478,2.50017649999063,2.50017649999063,2.5334070999961114,3.0001829999964684,6.13505699999223,space,3.623792300000787,,,309519,001,2023-02-20_14h49.11.663,expectation_shapes_perceived_time,2022.2.4,59.92534500877883,
,,,,1,0,1,0,0.0032389999978477135,0.4980091000034008,0.4980091000034008,,1.5313639999949373,1.5644421000033617,1.831097400005092,1.8645972999947844,2.498501900001429,2.5149017999938224,,2.9987852000049315,4.648747800005367,space,2.12330550000479,0,0,309519,001,2023-02-20_14h49.11.663,expectation_shapes_perceived_time,2022.2.4,59.92534500877883,
,,,,,,,,0.002069800000754185,0.4985076000011759,0.4985076000011759,0.5319347999902675,1.2320681999990484,1.2653314999915892,1.3983989999978803,1.4316048999899067,2.4984362999966834,2.515860599989537,,2.998614700001781,,,,0,0,,,,,,,
