id,delay,expectation,congruency,trial_num,stim_color,distractor_color,block,famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,fixationPoint.started,fixationPoint.stopped,audCueStart.started,audCueStart.stopped,target.started,target.stopped,distractor.started,distractor.stopped,audCueEnd.started,sapce2pass_2.started,responsePointer.started,responsePointer.stopped,perceivedTime,pTemporalError,sapce2pass_2.keys,sapce2pass_2.rt,x_coord,y_coord,audCueEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,167,0.85,met,261,green,red,high_Expectation,,,,,0,0,0,260,0.024004700011573732,0.49728609999874607,0.49728609999874607,0.5303067999775521,1.3472380999592133,1.380704200011678,1.5142630999907851,1.547608399996534,2.497856399975717,2.514496199961286,2.9980655999970622,3.4649669000064023,364.20818074361154,-485.3781325822113,space,0.9461992999422364,,,,952017,001,2023-02-23_16h43.45.466,expectation_shapes_perceived_time,2022.2.4,59.96249944652062,
1,100,0.85,met,169,green,red,high_Expectation,,,,,0,1,1,168,0.0018839000258594751,0.49824260000605136,0.49824260000605136,0.5318017000099644,1.9157655999879353,1.948889399995096,2.0155016999924555,2.0490540000027977,2.4989835000014864,2.515635400020983,2.999278499977663,3.6326743999961764,400.58463691643186,-1012.2468836009818,space,1.1014548999955878,0.805817574116446,0.3662564942728279,,952017,001,2023-02-23_16h43.45.466,expectation_shapes_perceived_time,2022.2.4,59.96249944652062,
1,-300,0.85,met,172,green,red,high_Expectation,,,,,0,2,2,171,0.0019712999928742647,0.49915129999862984,0.49915129999862984,0.5323000000207685,0.91615390003426,0.9491774000343867,0.6159864999935962,0.6490392000414431,2.4998505000257865,2.516107000003103,2.9997663000249304,3.7832648000330664,1660.8879855697066,1238.761867724849,space,1.2610306999995373,0.6865830450055479,0.22169101180886264,2.532934800023213,952017,001,2023-02-23_16h43.45.466,expectation_shapes_perceived_time,2022.2.4,59.96249944652062,
1,-33,0.85,met,258,green,red,high_Expectation,,,,,0,3,3,257,0.0018163000349886715,0.4987693000002764,0.4987693000002764,,1.3661820000270382,1.3996221999987029,1.3327468000352383,1.3661820000270382,2.4997625999967568,2.5163283000001684,3.0000676999916323,3.4666538999881595,1408.876028480532,543.546201359459,space,0.9498039999743924,-0.6856032444431066,0.3794080765519876,2.533149000024423,952017,001,2023-02-23_16h43.45.466,expectation_shapes_perceived_time,2022.2.4,59.96249944652062,
1,-33,0.85,met,121,green,red,high_Expectation,,,,,0,4,4,120,0.00181200000224635,0.4985181000083685,0.4985181000083685,0.5317497000214644,1.1156120999949053,1.1487251999787986,1.082076999999117,1.1156120999949053,2.499210599984508,2.5158089000033215,2.9994516000151634,3.900037900020834,1577.0858143201708,961.161070336711,space,1.3683724000002258,-0.7543361969200921,-0.22204633332138868,2.532636400021147,952017,001,2023-02-23_16h43.45.466,expectation_shapes_perceived_time,2022.2.4,59.96249944652062,
1,300,0.85,met,24,green,red,high_Expectation,,,,,0,5,5,23,0.00284470000769943,0.49815729999681935,0.49815729999681935,0.5316908999811858,1.8155537000275217,1.8488615999813192,2.1154528000042774,2.1489404999883845,2.499071200028993,2.5157190000172704,2.9992882999940775,3.349394000018947,1243.6282180309313,-82.02372664628706,space,0.8318449999787845,-0.25866220860988554,0.06389480225654842,2.5324321999796666,952017,001,2023-02-23_16h43.45.466,expectation_shapes_perceived_time,2022.2.4,59.96249944652062,
1,33,0.85,met,241,green,red,high_Expectation,,,,,0,6,6,240,0.001809299981687218,0.4983316999860108,0.4983316999860108,0.5317532999906689,1.7491074999561533,1.7823190999915823,1.7823190999915823,1.815706399967894,2.4994133999571204,2.5158535999944434,,,,,space,0.17683670000405982,-0.871158490668317,-0.9067526586499839,2.532572500000242,952017,001,2023-02-23_16h43.45.466,expectation_shapes_perceived_time,2022.2.4,59.96249944652062,
1,233,0.85,met,138,green,red,high_Expectation,,,,,0,7,7,137,0.0027304000104777515,0.4986309999949299,0.4986309999949299,0.5319714999641292,1.3652180999633856,1.3987345999921672,1.5987943999934942,1.6317820000112988,2.4989633999648504,2.5154043000075035,2.9991714999778196,3.532912499969825,1634.672649210764,766.9826998461158,space,1.001632800034713,0.01676419951349084,0.35706003587056867,2.5324702999787405,952017,001,2023-02-23_16h43.45.466,expectation_shapes_perceived_time,2022.2.4,59.96249944652062,
1,300,0.85,met,269,green,red,high_Expectation,,,,,0,8,8,268,0.0018506000051274896,0.49889060005079955,0.49889060005079955,,0.6988291000016034,0.7319868000340648,0.998826100025326,1.0319988000555895,2.4992692000232637,2.515989600040484,2.9996793000027537,3.6831857000361197,850.6955967616342,644.4263383972163,space,1.1590724000125192,-0.9811560680319471,0.44179478371303404,2.532813600031659,952017,001,2023-02-23_16h43.45.466,expectation_shapes_perceived_time,2022.2.4,59.96249944652062,
,,,,,,,,,,,,,,,,0.002593899960629642,0.4980591000057757,0.4980591000057757,,1.7488454999984242,1.7822108999826014,1.5153052999521606,1.5487068999791518,2.4989962999825366,2.5158650999655947,2.998869500006549,,,,,,0.49152657456428184,-0.9699091527642425,2.5322760999551974,,,,,,,
