id,delay,expectation,congruency,trial_num,stim_color,distractor_color,block,famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,audioCue2Start.started,handMove.started,handOri,handMove.ended,audioCue2End.started,fixationPoint.started,audCueStart.started,fixationPoint.stopped,audCueStart.stopped,target.started,distractor.started,target.stopped,distractor.stopped,sapce2pass_2.started,audCueEnd.started,responsePointer.started,responsePointer.stopped,perceivedTime,pTemporalError,sapce2pass_2.keys,sapce2pass_2.rt,x_coord,y_coord,audCueEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,0,0,0,0,,,,,11.607853310002247,11.641448409989243,270.00000000000057,13.67502330999705,13.67502330999705,,,,,,,,,,,,,,,,,,,,476019,001,2023-02-23_14h49.55.260,expectation_shapes_perceived_time,2022.2.4,60.82458677730513,
1,33,0.15,unmet,84,red,green,high_Expectation,,,,,0,0,0,83,,,,,,0.04982909996761009,0.54157539998414,0.54157539998414,0.5756469999905676,1.575829799985513,1.6092084999545477,1.6092084999545477,1.6423770999535918,2.509097100002691,2.5757718000095338,3.0760880999732763,3.5760742999846116,478.49302093341316,-535.6682149777247,space,1.0634025000035763,,,,476019,001,2023-02-23_14h49.55.260,expectation_shapes_perceived_time,2022.2.4,60.82458677730513,
1,-33,0.85,met,236,green,red,high_Expectation,,,,,0,1,1,235,,,,,,0.0016428999952040613,0.4988735999795608,0.4988735999795608,0.5323027999838814,1.1830621000262909,1.1484901999938302,1.21511340001598,1.1830621000262909,2.4998442999785766,2.533323500014376,3.0332655999809504,3.5829920999822207,9.223790938793366,-665.6727954509213,space,1.0703178000403568,0.18472222222222223,0.0125,2.566396899987012,476019,001,2023-02-23_14h49.55.260,expectation_shapes_perceived_time,2022.2.4,60.82458677730513,
1,233,0.85,met,146,green,red,high_Expectation,,,,,0,2,2,145,,,,,,0.0020613999804481864,0.4987115999683738,0.4987115999683738,0.5320566999725997,0.7653564999927767,0.9986867999541573,0.7985871999990195,1.032034499978181,2.4996225999784656,2.532864199951291,3.0348908999585547,3.833863299980294,1033.500048934897,764.5046973406982,space,1.3187115999753587,0.005555555555555556,0.19166666666666668,,476019,001,2023-02-23_14h49.55.260,expectation_shapes_perceived_time,2022.2.4,60.82458677730513,
1,-233,0.85,met,133,green,red,high_Expectation,,,,,0,3,3,132,,,,,,0.0017508000019006431,0.4978920000139624,0.4978920000139624,,0.947868200019002,0.7143884000252001,0.9810658000060357,0.7480466000270098,2.5152792999870144,2.531898299988825,3.03251759998966,3.8321519999881275,497.65952831017444,51.571233995040245,space,1.307709199958481,-0.020833333333333332,-0.19722222222222222,2.5652511999942362,476019,001,2023-02-23_14h49.55.260,expectation_shapes_perceived_time,2022.2.4,60.82458677730513,
,,,,,,,,,,,,,,,,,,,,,0.0017358000040985644,0.5161793999723159,0.5161793999723159,,0.74965399998473,0.716179299983196,0.7829379999893717,0.74965399998473,2.4992803999921307,2.549395799986087,3.0502899999846704,,,,,,0.18888888888888888,0.001388888888888889,2.5831674999790266,,,,,,,
