famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,fixationPoint.started,audCueStart.started,fixationPoint.stopped,target.started,target.stopped,distractor.started,distractor.stopped,sapce2pass_2.started,audCueEnd.started,audCueEnd.stopped,responsePointer.started,responsePointer.stopped,sapce2pass_2.keys,sapce2pass_2.rt,x_coord,y_coord,audCueStart.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0.0049743000126909465,0.5135975000157487,0.5135975000157487,0.7627729000232648,0.7961330999969505,1.0637525000202004,1.0975135000189766,2.5003066000062972,2.5169873000122607,2.550056300009601,3.0144677000062075,4.214943700004369,space,1.7105851999949664,,,,477590,001,2023-02-21_17h16.17.694,expectation_shapes_perceived_time,2022.2.4,59.848559209202136,
,,,,1,0,1,0,0.0024224000226240605,0.49739689999842085,0.49739689999842085,0.7146670000220183,0.7478511000226717,0.8814535000128672,0.9148042000015266,2.5152258000161964,2.498563400004059,2.5320626000175253,2.998628200002713,3.598605300008785,space,1.0786167999904137,-0.7856803107200205,-0.9136855485561137,,477590,001,2023-02-21_17h16.17.694,expectation_shapes_perceived_time,2022.2.4,59.848559209202136,
,,,,,,,,0.002053200005320832,0.49871680000796914,0.49871680000796914,1.8829807000001892,1.9164257000084035,2.1830911000142805,2.2163809000048786,2.4994650000007823,2.4994650000007823,2.532725400000345,2.9994984999939334,,,,-0.7856803107200205,-0.9136855485561137,0.5324614999990445,,,,,,,
