famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,orientation,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,270.0,046526,001,2023-01-04_16h15.41.062,expectation_shapes_perceived_time,2022.2.4,59.84551478920851,
1,0,1,0,270.0,046526,001,2023-01-04_16h15.41.062,expectation_shapes_perceived_time,2022.2.4,59.84551478920851,
,,,,270.0,,,,,,,
