famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,audioCue2Start.started,handMove.started,handOri,handMove.ended,audioCue2End.started,target.started,target.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,11.25709961000066,11.290555709998808,270.00000000000057,13.32486660999748,13.32486660999748,,,623112,001,2023-01-10_17h27.52.016,expectation_shapes_perceived_time,2022.2.4,60.341618036710244,
,,,,0,0,0,0,,,,,,17.510129399997822,17.543033999998443,623112,001,2023-01-10_17h27.52.016,expectation_shapes_perceived_time,2022.2.4,59.86432349685604,
,,,,1,0,1,0,,,,,,,,623112,001,2023-01-10_17h27.52.016,expectation_shapes_perceived_time,2022.2.4,59.86514776752516,
,,,,2,0,2,0,,,,,,26.99591859999782,27.029945999998745,623112,001,2023-01-10_17h27.52.016,expectation_shapes_perceived_time,2022.2.4,59.95778971571046,
,,,,3,0,3,0,,,,,,33.066152799998235,33.09931289999804,623112,001,2023-01-10_17h27.52.016,expectation_shapes_perceived_time,2022.2.4,59.57622241464947,
,,,,4,0,4,0,,,,,,44.4199492000007,44.45338550000088,623112,001,2023-01-10_17h27.52.016,expectation_shapes_perceived_time,2022.2.4,59.962535407061516,
