famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,audioCue2Start.started,handMove.started,handOri,handMove.ended,audioCue2End.started,fixationPoint.started,audCueStart.started,fixationPoint.stopped,target.started,target.stopped,distractor.started,distractor.stopped,sapce2pass_2.started,audCueEnd.started,responsePointer.started,responsePointer.stopped,sapce2pass_2.keys,sapce2pass_2.rt,x_coord,y_coord,audCueEnd.stopped,audCueStart.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,11.49407259998261,11.526677599997493,270.0,13.526260999997612,13.526260999997612,,,,,,,,,,,,,,,,,,270848,001,2023-02-21_14h45.31.503,expectation_shapes_perceived_time,2022.2.4,59.91981530644252,
,,,,0,0,0,0,,,,,,0.002660500002093613,0.4992748000076972,0.4992748000076972,0.8665411999973003,0.8996918000048026,1.0331111999985296,1.066117900016252,2.502584300003946,2.519531600002665,3.0164745000074618,5.951955099997576,space,3.43993490000139,,,,,270848,001,2023-02-21_14h45.31.503,expectation_shapes_perceived_time,2022.2.4,59.91981530644252,
,,,,1,0,1,0,,,,,,0.0037412000237964094,0.49636910000117496,0.49636910000117496,1.1969680000038352,1.229858200007584,1.2967871000000741,1.330412500014063,2.5140266000234988,2.497551900014514,2.997998100006953,5.299139400012791,space,2.7844315000111237,0.739580217287372,0.7813448324951864,2.531025200005388,,270848,001,2023-02-21_14h45.31.503,expectation_shapes_perceived_time,2022.2.4,59.91981530644252,
,,,,,,,,,,,,,0.004202399984933436,0.4970319999847561,0.4970319999847561,1.8639162000035867,1.8975297999859322,2.097523399977945,2.130289199994877,2.5141454999975394,2.497758799989242,2.9973135000036564,,,,0.8952590994852001,0.3093865098809745,2.5309272999875247,0.5301650000037625,,,,,,,
