famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,fixationPoint.started,audCueStart.started,fixationPoint.stopped,audCueStart.stopped,target.started,target.stopped,distractor.started,distractor.stopped,audCueEnd.started,sapce2pass_2.started,responsePointer.started,responsePointer.stopped,sapce2pass_2.keys,sapce2pass_2.rt,x_coord,y_coord,audCueEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0.004727199993794784,0.5144503000046825,0.5144503000046825,0.5478516000002855,0.664601099997526,0.6978700000036042,0.7644176000030711,0.7977377999923192,2.5155038999946555,2.5155038999946555,3.015772900005686,6.816852399992058,space,4.298307699995348,,,,102471,001,2023-02-20_17h12.45.407,expectation_shapes_perceived_time,2022.2.4,59.93770075742571,
,,,,1,0,1,0,0.0019746000034501776,0.49781260000600014,0.49781260000600014,,1.8817315000051167,1.9147398000059184,2.0480339000059757,2.0818226000119466,2.4996371000015642,2.4996371000015642,2.999165900007938,7.934372600007919,space,5.431629300001077,0,0,,102471,001,2023-02-20_17h12.45.407,expectation_shapes_perceived_time,2022.2.4,59.93770075742571,
,,,,,,,,0.0017940999969141558,0.49807159999909345,0.49807159999909345,0.5315754000039306,0.7983929000038188,0.8316372999979649,0.8316372999979649,0.8651188000076218,2.4989944999979343,2.515776600004756,2.99929439999687,,,,0,0,2.5320882000087295,,,,,,,
