famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,audioCue2Start.started,audioCue2End.started,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0.0022897999988344964,1.9998259999993024,915695,001,2023-01-02_17h02.50.474,expectation_shapes_perceived_time,2022.2.4,59.97364757866729,
1,0,1,0,0.001339200000074925,2.000079800000094,915695,001,2023-01-02_17h02.50.474,expectation_shapes_perceived_time,2022.2.4,59.97364757866729,
,,,,0.0014566999998351093,2.0002501999988453,,,,,,,
