id,delay,expectation,congruency,trial_num,stim_color,distractor_color,block,famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,fixationPoint.started,audCueStart.started,fixationPoint.stopped,audCueStart.stopped,distractor.started,distractor.stopped,target.started,target.stopped,sapce2pass_2.started,audCueEnd.started,responsePointer.started,responsePointer.stopped,perceivedTime,pTemporalError,sapce2pass_2.keys,sapce2pass_2.rt,x_coord,y_coord,audCueEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,-100,0.85,met,242,green,red,high_Expectation,,,,,0,0,0,241,0.029840100032743067,0.5315536000416614,0.5315536000416614,0.5647963000228629,2.0160587000427768,2.04981699999189,2.1159813000122085,2.1494893000344746,2.500187600031495,2.583352499990724,3.0999326999881305,3.6051106000086293,480.897051175949,-1058.661188164306,space,1.0913382999715395,,,,551751,001,2023-02-23_15h37.37.635,expectation_shapes_perceived_time,2022.2.4,60.43515731350077,
1,167,0.85,met,49,green,red,high_Expectation,,,,,0,1,1,48,0.0021662000217474997,0.49314050003886223,0.49314050003886223,0.5267476000008173,1.4431006000377238,1.476383600034751,1.277165200037416,1.3104121999931522,2.510368400020525,2.5436451000277884,3.0601224999991246,11.513783100002911,1269.284100853496,507.7151065024608,space,8.992192700039595,0.3236111111111111,0.019444444444444445,,551751,001,2023-02-23_15h37.37.635,expectation_shapes_perceived_time,2022.2.4,60.43515731350077,
1,-233,0.85,met,55,green,red,high_Expectation,,,,,0,2,2,54,0.002223599993158132,0.4983627999899909,0.4983627999899909,0.5316660000244156,1.7660603999975137,1.7998537000385113,1.9998619999969378,2.0326857999898493,2.499717300001066,2.6167685000109486,3.1330983000225388,5.000697600014973,1737.10297085964,346.41489859207854,space,2.498230200028047,-0.5654829931471621,-0.5008051359366203,,551751,001,2023-02-23_15h37.37.635,expectation_shapes_perceived_time,2022.2.4,60.43515731350077,
1,-233,0.85,met,195,green,red,high_Expectation,,,,,0,3,3,194,0.0029138000099919736,0.4974002999952063,0.4974002999952063,0.5307601999957114,1.1821279000141658,1.214942799997516,1.4149825000204146,1.4482591999694705,2.5154553999891505,2.549366799998097,3.0651130999904126,6.5537758999853395,1145.231351226485,270.71545299150773,space,4.0229733000160195,-0.8038805878264135,0.7412422383271142,,551751,001,2023-02-23_15h37.37.635,expectation_shapes_perceived_time,2022.2.4,60.43515731350077,
1,233,0.85,met,162,green,red,high_Expectation,,,,,0,4,4,161,0.0021383000421337783,0.49573480000253767,0.49573480000253767,0.529681799991522,1.3987162000266835,1.4325834999908693,1.150993000017479,1.180469200015068,2.5002687000087462,2.646263100032229,3.212528400006704,13.305059600039385,933.269564520192,346.0309882065652,space,10.787260599958245,-0.47964570754606517,-0.9772801918752954,,551751,001,2023-02-23_15h37.37.635,expectation_shapes_perceived_time,2022.2.4,60.43515731350077,
1,300,0.85,met,289,green,red,high_Expectation,,,,,0,5,5,288,0.0030172999831847847,0.49306690000230446,0.49306690000230446,0.527081599982921,1.9949490000144579,2.0279040000168607,1.6947135999798775,1.7273118000011891,2.511291100003291,2.5281803000252694,3.0451199000235647,3.5447792999912053,1675.0964117313474,502.36191090934517,space,1.0170564000145532,0.013888888888888888,-0.06527777777777778,,551751,001,2023-02-23_15h37.37.635,expectation_shapes_perceived_time,2022.2.4,60.43515731350077,
1,-300,0.85,met,200,green,red,high_Expectation,,,,,0,6,6,199,0.0023110999609343708,0.4994639999931678,0.4994639999931678,,1.1660293999593705,1.1989504999946803,1.4659565999754705,1.4991872999817133,2.499971299956087,2.5330910999909975,3.0499113999539986,3.1333707999438047,869.9977840119375,-80.1874448288645,space,0.6305222000228241,-0.6237751112546255,0.3825098100662503,2.5664530999492854,551751,001,2023-02-23_15h37.37.635,expectation_shapes_perceived_time,2022.2.4,60.43515731350077,
1,233,0.85,met,262,green,red,high_Expectation,,,,,0,7,7,261,0.0029947999864816666,0.49805420002667233,0.49805420002667233,,0.9310976000269875,0.9654021000023931,0.6986240000114776,0.7310064000193961,2.499320600007195,2.532538699975703,3.048867999983486,3.3324126999941655,1162.233420057038,982.4009144623619,space,0.8285967000410892,0.3471059225413524,-0.8020991401292152,2.5647617999929935,551751,001,2023-02-23_15h37.37.635,expectation_shapes_perceived_time,2022.2.4,60.43515731350077,
1,33,0.85,met,69,green,red,high_Expectation,,,,,0,8,8,68,0.0030267999973148108,0.4979897000011988,0.4979897000011988,0.531165599997621,1.133194199996069,1.1662900000228547,1.0995889999903738,1.133194199996069,2.5154547999845818,2.5323218000121415,3.0490654000313953,3.483281299995724,336.65579345585803,-239.42660241646155,space,0.9677288999664597,-0.3756236913991031,-0.6720439427823799,,551751,001,2023-02-23_15h37.37.635,expectation_shapes_perceived_time,2022.2.4,60.43515731350077,
1,300,0.85,met,199,green,red,high_Expectation,,,,,0,9,9,198,0.0033350999583490193,0.4975017999531701,0.4975017999531701,,1.147745699970983,1.180716199974995,0.847431099973619,0.8806630999897607,2.5008046999573708,2.534992399974726,,,,,space,0.3274913000059314,0.7925385916580194,0.4466082144293555,,551751,001,2023-02-23_15h37.37.635,expectation_shapes_perceived_time,2022.2.4,60.43515731350077,
