famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,id,delay,expectation,congruency,trial_num,stim_color,distractor_color,block,audioCue2Start.started,handMove.started,handOri,handMove.ended,audioCue2End.started,fixationPoint.started,audCueStart.started,fixationPoint.stopped,audCueStart.stopped,distractor.started,distractor.stopped,target.started,target.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,,,,,9.875570879969747,9.909204179956578,270.0,11.909799179947004,11.909799179947004,,,,,,,,,457887,001,2023-02-23_15h06.15.961,expectation_shapes_perceived_time,2022.2.4,60.13923435139793,
,,,,,,,,,,,,,,,,,,,,,0.02090689999749884,0.5160141999949701,0.5160141999949701,0.5495495999930426,1.1330772999790497,1.1659052000031807,1.4327071000006981,1.469104999967385,,,,,,,
