famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,fixationPoint.started,audCueStart.started,fixationPoint.stopped,distractor.started,distractor.stopped,target.started,target.stopped,audCueEnd.started,sapce2pass_2.started,responsePointer.started,sapce2pass_2.keys,sapce2pass_2.rt,x_coord,y_coord,audCueStart.stopped,audCueEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0.0037523000028159004,0.4990899000003992,0.4990899000003992,1.2327826000000641,1.2666398000001209,1.4666579000004276,1.4998135000023467,2.5012065000009898,2.5012065000009898,14.085479500001384,space,2.549018100002286,,,,,890110,001,2023-02-19_16h06.42.624,expectation_shapes_perceived_time,2022.2.4,60.126542321636315,
,,,,1,0,1,0,0.0025327999974251725,0.497351099998923,0.497351099998923,0.8807472999978927,0.9142694999973173,1.1140428999970027,1.147590399999899,2.498213200000464,2.515073599999596,19.13716740000018,space,2.2081898000033107,0.15885416666666666,0.078125,,,890110,001,2023-02-19_16h06.42.624,expectation_shapes_perceived_time,2022.2.4,60.126542321636315,
,,,,2,0,2,0,0.0020667999997385778,0.49835909999819705,0.49835909999819705,2.29864859999725,2.3321083999981056,1.9987836000000243,2.0321503999985,2.5322668999979214,2.499037800000224,23.905622900001617,space,3.4935113999999885,0.00390625,-0.0013020833333333333,0.5314419999995152,,890110,001,2023-02-19_16h06.42.624,expectation_shapes_perceived_time,2022.2.4,60.126542321636315,
,,,,,,,,0.0025367999987793155,0.4977811999997357,0.4977811999997357,1.3981036999975913,1.4311054999998305,1.6980882999996538,1.7314549000002444,2.498766099997738,2.514964099998906,29.875002900000254,,,0.13151041666666666,-0.12890625,0.5315253999979177,2.5320433999986562,,,,,,,
