famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialCycle.thisRepN,trialCycle.thisTrialN,trialCycle.thisN,trialCycle.thisIndex,audioCue2Start.started,handMove.started,handOri,handMove.ended,audioCue2End.started,text.started,text.stopped,space2pass.keys,space2pass.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,14.558761240001331,14.591938440000376,270.0,16.592694639999536,16.592694639999536,,,,,584395,001,2023-01-10_18h03.57.421,expectation_shapes_perceived_time,2022.2.4,60.13333966719041,
,,,,0,0,0,0,,,,,,19.043750300003012,19.243757399999595,space,0.8821806999985711,584395,001,2023-01-10_18h03.57.421,expectation_shapes_perceived_time,2022.2.4,59.84827265908598,
