famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,orientation,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,270.0,132708,001,2023-01-04_18h16.42.119,expectation_shapes_perceived_time,2022.2.4,60.109627936218914,
,,,,270.0,,,,,,,
