id,delay,expectation,congruency,trial_num,stim_color,distractor_color,block,famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,audioCue2Start.started,handMove.started,handOri,handMove.ended,audioCue2End.started,fixationPoint.started,fixationPoint.stopped,audCueStart.started,target.started,target.stopped,distractor.started,distractor.stopped,sapce2pass_2.started,audCueEnd.started,responsePointer.started,responsePointer.stopped,perceivedTime,pTemporalError,sapce2pass_2.keys,sapce2pass_2.rt,x_coord,y_coord,audCueStart.stopped,audCueEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,0,0,0,0,,,,,14.459151509992079,14.491872510017128,270.0000000000002,16.510170409997226,16.510170409997226,,,,,,,,,,,,,,,,,,,,092932,001,2023-02-23_00h35.10.601,expectation_shapes_perceived_time,2022.2.4,60.44900311120334,
,,,,,,,,1,0,1,0,,,,,18.86091831002268,18.894205909996526,270.0000000000002,20.911357309977756,20.911357309977756,,,,,,,,,,,,,,,,,,,,092932,001,2023-02-23_00h35.10.601,expectation_shapes_perceived_time,2022.2.4,60.44900311120334,
,,,,,,,,2,0,2,0,,,,,22.111859310028375,22.145489509991602,270.0000000000002,24.16220441002515,24.16220441002515,,,,,,,,,,,,,,,,,,,,092932,001,2023-02-23_00h35.10.601,expectation_shapes_perceived_time,2022.2.4,60.44900311120334,
1,167,0.85,met,246,green,red,high_Expectation,,,,,0,0,0,245,,,,,,0.03346750000491738,0.532433399988804,0.5486766999820247,2.0161400999641046,2.0496934999828227,2.1828501999843866,2.2159944999730214,2.499589199956972,2.549251499993261,3.0496561999898404,4.183785100001842,1571.707825951477,103.56579167180826,space,1.6706879999837838,,,,,092932,001,2023-02-23_00h35.10.601,expectation_shapes_perceived_time,2022.2.4,60.44900311120334,
1,33,0.15,unmet,213,red,green,high_Expectation,,,,,0,1,1,212,,,,,,0.002063299994915724,0.49796690000221133,0.5145138999796472,0.8151754999998957,0.8488614999805577,0.8488614999805577,0.8813030999735929,2.516436400008388,2.5356833999976516,3.049038900004234,4.099458499986213,244.65075763535438,-62.238877651928846,space,1.5686543000047095,-0.2,0.04583333333333333,,,092932,001,2023-02-23_00h35.10.601,expectation_shapes_perceived_time,2022.2.4,60.44900311120334,
1,100,0.85,met,5,green,red,high_Expectation,,,,,0,2,2,4,,,,,,0.0020504999556578696,0.498919699981343,0.515551799966488,1.1324263999704272,1.165792399959173,1.2325668999692425,1.266155599965714,2.4997162999934517,2.516339599969797,3.015940299956128,3.917204999946989,742.7996472332383,110.97048872949529,space,1.4127068999805488,0.1625,0.16805555555555557,0.5485785999917425,2.5493903999449685,092932,001,2023-02-23_00h35.10.601,expectation_shapes_perceived_time,2022.2.4,60.44900311120334,
1,300,0.15,unmet,16,red,green,high_Expectation,,,,,0,3,3,15,,,,,,0.003009999985806644,0.49741099996026605,0.5142411999986507,1.5808982999878936,1.6142377000069246,1.8813993000076152,1.9144429999869317,2.514980199979618,2.514980199979618,3.0149947999743745,4.231952800008003,502.32338856387275,-575.039259618121,space,1.713822599966079,0.15694444444444444,-0.15,,2.548454599978868,092932,001,2023-02-23_00h35.10.601,expectation_shapes_perceived_time,2022.2.4,60.44900311120334,
1,167,0.15,unmet,263,red,green,high_Expectation,,,,,0,4,4,262,,,,,,0.0022415000130422413,0.4991957999882288,0.5155322999926284,0.8155932999798097,0.8492401000112295,0.9822910000220872,1.0159833999932744,2.4993332999874838,2.5164621000294574,3.0163821000023745,3.7667557999957353,997.7100403255426,687.4768721578996,space,1.2581470999866724,0.19027777777777777,-0.001388888888888889,0.5490571000264026,2.550056600011885,092932,001,2023-02-23_00h35.10.601,expectation_shapes_perceived_time,2022.2.4,60.44900311120334,
1,233,0.85,met,160,green,red,high_Expectation,,,,,0,5,5,159,,,,,,0.002173699962440878,0.49864639999577776,0.5154497000039555,1.4014615999767557,1.4350127999787219,1.635942899971269,1.6680352999828756,2.499106600007508,2.5164613999659196,3.0161078999517485,5.433593900001142,1483.6308478888204,596.2595625913424,space,2.9298779999953695,0.001388888888888889,-0.19305555555555556,0.5489837999921292,,092932,001,2023-02-23_00h35.10.601,expectation_shapes_perceived_time,2022.2.4,60.44900311120334,
1,233,0.85,met,186,green,red,high_Expectation,,,,,0,6,6,185,,,,,,0.0021467000478878617,0.4985888000228442,0.5153483000467531,0.6651639000046998,0.6985427000327036,0.8985885000438429,0.9323357000248507,2.4997776999953203,2.516442799998913,3.0161356000462547,4.0002115000388585,1990.842530528355,1817.6543364245376,space,1.5000543000060134,-0.18888888888888888,-0.009722222222222222,,2.5497286000172608,092932,001,2023-02-23_00h35.10.601,expectation_shapes_perceived_time,2022.2.4,60.44900311120334,
1,-300,0.85,met,221,green,red,high_Expectation,,,,,0,7,7,220,,,,,,0.0021549000521190464,0.4984058000263758,0.5153605000232346,0.9152607000432909,0.948399800050538,0.6159301000298001,0.6483313000062481,2.5000074000563473,2.5166880000033416,3.015979600022547,5.800841100048274,0.0,-409.859340723762,space,3.2873280000058003,-0.005555555555555556,0.19305555555555556,0.5485002000350505,2.549810000055004,092932,001,2023-02-23_00h35.10.601,expectation_shapes_perceived_time,2022.2.4,60.44900311120334,
,,,,,,,,,,,,,,,,,,,,,0.002095900010317564,0.498495300009381,0.5146156999981031,0.9812780999927782,1.0153453000239097,,,,,,,,,,,0.0,0.1986111111111111,0.54857099999208,,,,,,,,
