famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,fixationPoint.started,audCueStart.started,fixationPoint.stopped,audCueStart.stopped,target.started,target.stopped,distractor.started,distractor.stopped,sapce2pass_2.started,audCueEnd.started,responsePointer.started,responsePointer.stopped,sapce2pass_2.keys,sapce2pass_2.rt,x_coord,y_coord,audCueEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0.0029980000108480453,0.49957030001678504,0.49957030001678504,0.5325498000020161,1.6667503000062425,1.70016210002359,1.8333323000115342,1.8666957000095863,2.500789400015492,2.5171217000170145,3.01749200001359,3.7841132000030484,space,1.268956399988383,,,,587618,001,2023-02-21_17h17.11.234,expectation_shapes_perceived_time,2022.2.4,60.320870836333334,
,,,,1,0,1,0,0.002487400022801012,0.4998302000167314,0.4998302000167314,,1.8163287000206765,1.8500291000236757,2.0495910000172444,2.0826699000026565,2.4996078000112902,2.516707300004782,3.0168984000047203,3.6835010000213515,space,1.1827213000215124,0.02158814839825718,0.21761010301682226,,587618,001,2023-02-21_17h17.11.234,expectation_shapes_perceived_time,2022.2.4,60.320870836333334,
,,,,,,,,0.0032986000005621463,0.4974272999970708,0.4974272999970708,0.5311764999933075,0.9649819000042044,0.9978706999972928,1.2641583000076935,1.2970685999898706,2.5152670000097714,2.5152670000097714,3.015057999989949,,,,0.7965532067483128,0.46071737554055914,2.548155399999814,,,,,,,
