famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,fixationPoint.started,audCueStart.started,fixationPoint.stopped,audCueStart.stopped,distractor.started,distractor.stopped,target.started,target.stopped,audCueEnd.started,sapce2pass_2.started,responsePointer.started,sapce2pass_2.keys,sapce2pass_2.rt,audCueEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,13.217912099997193,0.49924449999889475,13.717955899999652,0.5329498999999487,14.518243099999381,14.551820299999235,14.818296199999168,14.851835499997833,2.5000963999991654,2.5000963999991654,16.21889949999968,space,1.6537128999989363,,294258,001,2023-02-19_15h12.20.727,expectation_shapes_perceived_time,2022.2.4,60.01151020797405,
,,,,1,0,1,0,17.386841699997603,0.49789220000093337,17.886270699997112,0.5310591000015847,18.353130899999087,18.386473799997475,18.519509199999447,18.55318669999906,2.4986529999987397,2.5150078000006033,,space,5.512507099996583,,294258,001,2023-02-19_15h12.20.727,expectation_shapes_perceived_time,2022.2.4,60.01151020797405,
,,,,2,0,2,0,25.422775600000023,0.49735080000027665,25.922727399996802,0.5305981000019528,27.323232899998402,27.356419799998548,27.1563032999984,27.1894418999982,2.497690300002432,2.5148463000004995,,space,2.3105456000012055,2.5313554000022123,294258,001,2023-02-19_15h12.20.727,expectation_shapes_perceived_time,2022.2.4,60.01151020797405,
,,,,,,,,30.25734519999969,0.49646930000017164,30.75752569999895,,31.958455500000127,31.99163189999672,31.658093899997766,31.69145269999717,2.49747650000063,2.5140943999977026,,,,2.5307040000006964,,,,,,,
