id,delay,expectation,congruency,trial_num,stim_color,distractor_color,block,famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,fixationPoint.started,fixationPoint.stopped,audCueStart.started,distractor.started,distractor.stopped,target.started,target.stopped,audCueEnd.started,sapce2pass_2.started,responsePointer.started,responsePointer.stopped,perceivedTime,pTemporalError,sapce2pass_2.keys,x_coord,y_coord,participant,session,date,expName,psychopyVersion,frameRate,
1,233,0.85,met,152,green,red,high_Expectation,,,,,0,19,19,151,0.001172599964775145,,,,,,,,,,,,,None,0.04537037037037037,-0.08611111111111111,179054,001,2023-02-23_22h28.38.508,expectation_shapes_perceived_time,2022.2.4,60.329859551495105,
1,-100,0.85,met,41,green,red,high_Expectation,,,,,0,20,20,40,0.0013971999869681895,,,,,,,,,,,,,None,0.04537037037037037,-0.08611111111111111,179054,001,2023-02-23_22h28.38.508,expectation_shapes_perceived_time,2022.2.4,60.329859551495105,
1,-33,0.85,met,229,green,red,high_Expectation,,,,,0,21,21,228,0.0012653000303544104,,,,,,,,,,,,,None,0.04537037037037037,-0.08611111111111111,179054,001,2023-02-23_22h28.38.508,expectation_shapes_perceived_time,2022.2.4,60.329859551495105,
1,233,0.85,met,90,green,red,high_Expectation,,,,,0,22,22,89,0.0012441999861039221,,,,,,,,,,,,,None,0.04537037037037037,-0.08611111111111111,179054,001,2023-02-23_22h28.38.508,expectation_shapes_perceived_time,2022.2.4,60.329859551495105,
1,-33,0.85,met,144,green,red,high_Expectation,,,,,0,23,23,143,0.0016890999977476895,,,,,,,,,,,,,None,0.04537037037037037,-0.08611111111111111,179054,001,2023-02-23_22h28.38.508,expectation_shapes_perceived_time,2022.2.4,60.329859551495105,
1,-100,0.85,met,249,green,red,high_Expectation,,,,,0,24,24,248,0.00140889995964244,,,,,,,,,,,,,None,0.04537037037037037,-0.08611111111111111,179054,001,2023-02-23_22h28.38.508,expectation_shapes_perceived_time,2022.2.4,60.329859551495105,
1,100,0.85,met,207,green,red,high_Expectation,,,,,0,25,25,206,0.001276099996175617,,,,,,,,,,,,,None,0.04537037037037037,-0.08611111111111111,179054,001,2023-02-23_22h28.38.508,expectation_shapes_perceived_time,2022.2.4,60.329859551495105,
1,33,0.85,met,194,green,red,high_Expectation,,,,,0,26,26,193,0.0014484000275842845,,,,,,,,,,,,,None,0.04537037037037037,-0.08611111111111111,179054,001,2023-02-23_22h28.38.508,expectation_shapes_perceived_time,2022.2.4,60.329859551495105,
1,233,0.85,met,285,green,red,high_Expectation,,,,,0,27,27,284,0.00121640000725165,,,,,,,,,,,,,None,0.04537037037037037,-0.08611111111111111,179054,001,2023-02-23_22h28.38.508,expectation_shapes_perceived_time,2022.2.4,60.329859551495105,
1,-100,0.85,met,265,green,red,high_Expectation,,,,,0,28,28,264,0.0014090999611653388,,,,,,,,,,,,,None,0.04537037037037037,-0.08611111111111111,179054,001,2023-02-23_22h28.38.508,expectation_shapes_perceived_time,2022.2.4,60.329859551495105,
