famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,orientation,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,270.0,930360,001,2023-01-04_16h50.35.806,expectation_shapes_perceived_time,2022.2.4,59.974043237168885,
1,0,1,0,270.0,930360,001,2023-01-04_16h50.35.806,expectation_shapes_perceived_time,2022.2.4,59.974043237168885,
2,0,2,0,270.0,930360,001,2023-01-04_16h50.35.806,expectation_shapes_perceived_time,2022.2.4,59.974043237168885,
,,,,270.0,,,,,,,
