famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,audioCue2Start.started,handMove.started,handOri,handMove.ended,audioCue2End.started,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,9.840550559999974,9.873554059996968,270.0,11.874635559999296,11.874635559999296,301862,001,2023-01-10_16h50.34.369,expectation_shapes_perceived_time,2022.2.4,59.84085921849947,
1,0,1,0,,,,,13.058325460000196,13.091833059997589,270.0,15.09269295999693,15.09269295999693,301862,001,2023-01-10_16h50.34.369,expectation_shapes_perceived_time,2022.2.4,59.84085921849947,
