famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,154408,001,2023-01-02_22h21.48.714,expectation_shapes_perceived_time,2022.2.4,59.78186792095144,
1,0,1,0,154408,001,2023-01-02_22h21.48.714,expectation_shapes_perceived_time,2022.2.4,59.78186792095144,
2,0,2,0,154408,001,2023-01-02_22h21.48.714,expectation_shapes_perceived_time,2022.2.4,59.78186792095144,
3,0,3,0,154408,001,2023-01-02_22h21.48.714,expectation_shapes_perceived_time,2022.2.4,59.78186792095144,
