famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,orientation,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,270.00000000000057,455865,001,2023-01-04_16h56.15.632,expectation_shapes_perceived_time,2022.2.4,61.23297493340206,
,,,,270.00000000000057,,,,,,,
