famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,fixationPoint.started,audCueStart.started,fixationPoint.stopped,audCueStart.stopped,target.started,target.stopped,distractor.started,distractor.stopped,sapce2pass_2.started,audCueEnd.started,audCueEnd.stopped,responsePointer.started,responsePointer.stopped,perceivedTime,pTemporalError,sapce2pass_2.keys,sapce2pass_2.rt,x_coord,y_coord,participant,session,date,expName,psychopyVersion,frameRate,
,,,,0,0,0,0,0.0032953000045381486,0.5161239000153728,0.5161239000153728,0.5492733000137378,1.9330759000149556,1.966874400008237,2.233443500008434,2.2667149000044446,2.500193699990632,2.5667825000127777,2.599989300011657,3.0668197000049986,8.169021100009559,500.0,-893.0024795830152,space,5.6533783999911975,,,241841,001,2023-02-21_17h46.25.570,expectation_shapes_perceived_time,2022.2.4,61.33998422591734,
,,,,1,0,1,0,0.0022643999836873263,0.5153284999832977,0.5153284999832977,0.5484219999925699,1.0149373000022024,1.048275899986038,1.048275899986038,1.0817920999834314,2.4992944999830797,2.5656766000029165,2.5990958999900613,3.066249900002731,8.517873200005852,993.1310688730214,507.28280645974155,space,6.017300799983786,0.19722222222222222,0.0,241841,001,2023-02-21_17h46.25.570,expectation_shapes_perceived_time,2022.2.4,61.33998422591734,
,,,,2,0,2,0,0.0024708000128157437,0.514208900014637,0.514208900014637,0.5480151000083424,1.1646979000070132,1.1982520000019576,1.4646644000022206,1.4981993000255898,2.515190200007055,2.5651647000049707,2.598649400024442,3.0656531999993604,6.567204500024673,1495.6695204382306,861.560561941958,space,4.050120400002925,0.004166666666666667,-0.19305555555555556,241841,001,2023-02-21_17h46.25.570,expectation_shapes_perceived_time,2022.2.4,61.33998422591734,
,,,,3,0,3,0,0.002043000014964491,0.5154951000004075,0.5154951000004075,0.5483107000181917,1.9824037000071257,2.0157986000122037,2.282206000003498,2.315693500015186,2.516022800002247,2.5655971000087447,2.5984496000164654,3.0655946000188123,9.318139200011501,1993.2284709159374,559.3989093579985,space,6.786121799988905,-0.20416666666666666,-0.002777777777777778,241841,001,2023-02-21_17h46.25.570,expectation_shapes_perceived_time,2022.2.4,61.33998422591734,
,,,,,,,,0.0020778000180143863,0.5156752000038978,0.5156752000038978,0.5490033999958541,0.9828389000031166,1.0161950000037905,1.2827128000208177,1.3161019000108354,2.4995040000067092,2.566524699999718,2.599823099997593,3.0666645000164863,,,,,,-0.004166666666666667,0.19583333333333333,,,,,,,
